time_local,sun_elev_deg,sun_az_deg,ghi_Wm2,dni_Wm2,dhi_Wm2,poa_global_Wm2,P_theoretical_W,P_area_eff_W
16:26,38.19,251.79,586.4,787.3,99.7,624.9,253.1,252.6
16:27,38.0,251.99,583.4,786.2,99.5,621.2,251.6,251.1
16:28,37.81,252.19,580.4,785.0,99.2,617.5,250.1,249.6
16:29,37.62,252.39,577.4,783.8,99.0,613.8,248.6,248.1
16:30,37.43,252.59,574.4,782.6,98.7,610.1,247.1,246.6
16:31,37.24,252.78,571.4,781.4,98.5,606.4,245.6,245.1
16:32,37.05,252.98,568.3,780.1,98.3,602.7,244.1,243.6
16:33,36.86,253.17,565.3,778.9,98.0,598.9,242.6,242.1
16:34,36.67,253.37,562.2,777.6,97.8,595.2,241.1,240.6
16:35,36.48,253.56,559.2,776.4,97.5,591.4,239.5,239.1
16:36,36.29,253.76,556.1,775.1,97.3,587.7,238.0,237.5
16:37,36.1,253.95,553.0,773.8,97.1,583.9,236.5,236.0
16:38,35.91,254.14,549.9,772.5,96.8,580.1,234.9,234.5
16:39,35.72,254.33,546.8,771.1,96.6,576.3,233.4,232.9
16:40,35.53,254.52,543.7,769.8,96.3,572.4,231.8,231.4
16:41,35.34,254.71,540.5,768.4,96.1,568.6,230.3,229.8
16:42,35.15,254.9,537.4,767.1,95.8,564.8,228.7,228.3
16:43,34.96,255.09,534.2,765.7,95.5,560.9,227.2,226.7
16:44,34.76,255.28,531.1,764.3,95.3,557.1,225.6,225.2
16:45,34.57,255.46,527.9,762.9,95.0,553.2,224.1,223.6
