year,time_pdt,ghi,dni,dhi,temp_air,poa_global_Wm2,T_cell_C,P_nameplate_W,P_temp_corr_W
2021,16:25,627.0,841.0,105.0,16.6,568.1,34.4,230.1,222.6
2021,16:30,612.0,835.0,104.0,16.5,550.5,33.7,223.0,216.2
2021,16:35,596.0,829.0,103.0,16.5,532.8,33.2,215.8,209.6
2021,16:40,580.0,822.0,102.0,16.4,514.6,32.5,208.4,202.9
2021,16:45,564.0,815.0,101.0,16.3,496.3,31.8,201.0,196.2
2022,16:25,621.0,783.0,135.0,15.1,560.0,32.6,226.8,220.8
2022,16:30,605.0,776.0,133.0,15.0,542.0,31.9,219.5,214.2
2022,16:35,589.0,768.0,132.0,15.0,524.2,31.4,212.3,207.5
2022,16:40,576.0,765.0,131.0,14.9,509.0,30.8,206.2,202.0
2022,16:45,560.0,757.0,130.0,14.8,491.2,30.2,198.9,195.4
2023,16:25,629.0,867.0,91.0,14.5,573.0,32.4,232.1,226.0
2023,16:30,613.0,861.0,90.0,14.4,554.9,31.7,224.7,219.4
2023,16:35,594.0,841.0,95.0,14.4,534.1,31.1,216.3,211.7
2023,16:40,578.0,835.0,94.0,14.3,516.1,30.4,209.0,205.1
2023,16:45,562.0,828.0,93.0,14.3,497.6,29.8,201.5,198.1
2024,16:25,612.0,814.0,106.0,19.9,552.7,37.2,223.8,214.3
2024,16:30,539.0,573.0,190.0,19.8,474.3,34.6,192.1,185.6
2024,16:35,520.0,527.0,206.0,19.8,453.2,34.0,183.5,177.8
2024,16:40,495.0,500.0,204.0,19.7,428.6,33.1,173.6,168.7
2024,16:45,496.0,540.0,189.0,19.6,428.2,33.0,173.4,168.6
