Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4469509,-,-,-,24.96,-78.05,-5,9,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,DHI,DNI,Fill Flag,GHI,Solar Zenith Angle,Wind Direction,Wind Speed
2022,1,1,0,0,24.400000000000002,0,0,0,0,0,0,0,0,175.94,106,4.6000000000000005
2022,1,1,1,0,24.3,0,0,0,0,0,0,0,0,169.68,111,4.7
2022,1,1,2,0,24.3,0,0,0,0,0,0,0,0,156.12,116,4.800000000000001
2022,1,1,3,0,24.200000000000003,0,0,0,0,0,0,0,0,142.55,122,4.800000000000001
2022,1,1,4,0,24.3,0,0,0,0,0,0,0,0,129.09,128,4.7
2022,1,1,5,0,24.400000000000002,0,0,0,0,0,0,0,0,115.82000000000001,132,4.4
2022,1,1,6,0,24.400000000000002,0,0,0,0,0,0,0,0,102.83,135,4.1000000000000005
2022,1,1,7,0,24.700000000000003,0,0,0,0,0,0,0,0,89.76,137,4
2022,1,1,8,0,25.400000000000002,46,600,168,0,46,600,0,168,78.27,140,4.6000000000000005
2022,1,1,9,0,25.8,65,785,366,1,65,785,0,366,67.41,142,4.9
2022,1,1,10,0,26.200000000000003,71,883,537,1,71,883,0,537,58.120000000000005,145,5
2022,1,1,11,0,26.400000000000002,75,926,654,1,75,926,0,654,51.31,146,5
2022,1,1,12,0,26.6,77,945,709,0,77,945,0,709,48.06,146,5
2022,1,1,13,0,26.700000000000003,77,940,693,0,77,940,0,693,49.08,146,5
2022,1,1,14,0,26.700000000000003,72,916,609,0,72,916,0,609,54.14,146,5
2022,1,1,15,0,26.6,64,861,466,0,64,861,0,466,62.24,146,5
2022,1,1,16,0,26.3,53,748,279,0,53,748,0,279,72.37,146,4.800000000000001
2022,1,1,17,0,25.5,30,458,80,0,30,458,0,80,83.72,146,4.3
2022,1,1,18,0,25.1,0,0,0,0,0,0,0,0,96.11,145,4.2
2022,1,1,19,0,24.8,0,0,0,0,0,0,0,0,108.9,145,4.3
2022,1,1,20,0,24.700000000000003,0,0,0,0,0,0,0,0,122.04,145,4.4
2022,1,1,21,0,24.5,0,0,0,0,0,0,0,0,135.41,145,4.4
2022,1,1,22,0,24.400000000000002,0,0,0,0,0,0,0,0,148.93,146,4.5
2022,1,1,23,0,24.3,0,0,0,0,0,0,0,0,162.52,148,4.7
2022,1,2,0,0,24.200000000000003,0,0,0,0,0,0,0,0,175.8,150,5
2022,1,2,1,0,24.1,0,0,0,0,0,0,0,0,169.76,151,5.2
2022,1,2,2,0,24.1,0,0,0,0,0,0,0,0,156.21,152,5.4
2022,1,2,3,0,24,0,0,0,0,0,0,0,0,142.64000000000001,152,5.6000000000000005
2022,1,2,4,0,24,0,0,0,0,0,0,0,0,129.18,153,5.800000000000001
2022,1,2,5,0,24.1,0,0,0,0,0,0,0,0,115.89,154,5.9
2022,1,2,6,0,24.200000000000003,0,0,0,0,0,0,0,0,102.89,156,5.9
2022,1,2,7,0,24.5,0,0,0,0,0,0,0,0,89.81,158,5.9
2022,1,2,8,0,25.1,47,603,169,0,47,603,0,169,78.32000000000001,160,6.300000000000001
2022,1,2,9,0,25.5,65,790,369,0,65,790,0,369,67.43,160,6.5
2022,1,2,10,0,25.8,66,900,541,0,66,900,0,541,58.11,161,6.5
2022,1,2,11,0,26.1,70,941,659,0,70,941,0,659,51.27,163,6.2
2022,1,2,12,0,26.3,73,953,711,0,73,953,0,711,47.980000000000004,165,5.800000000000001
2022,1,2,13,0,26.400000000000002,69,952,695,0,69,952,0,695,48.97,167,5.300000000000001
2022,1,2,14,0,26.400000000000002,66,927,611,0,66,927,0,611,54.01,168,4.7
2022,1,2,15,0,26.400000000000002,59,874,468,0,59,874,0,468,62.11,166,4.2
2022,1,2,16,0,26.200000000000003,49,762,282,0,49,762,0,282,72.23,161,3.7
2022,1,2,17,0,25.700000000000003,28,485,82,0,28,485,0,82,83.59,155,3.3000000000000003
2022,1,2,18,0,25.400000000000002,0,0,0,0,0,0,0,0,95.97,148,3.4000000000000004
2022,1,2,19,0,25.200000000000003,0,0,0,0,0,0,0,0,108.77,144,3.6
2022,1,2,20,0,25,0,0,0,0,0,0,0,0,121.91,145,3.8000000000000003
2022,1,2,21,0,24.8,0,0,0,0,0,0,0,0,135.29,149,3.7
2022,1,2,22,0,24.700000000000003,0,0,0,0,0,0,0,0,148.81,159,3.4000000000000004
2022,1,2,23,0,24.700000000000003,0,0,0,1,0,0,0,0,162.4,171,3.2
2022,1,3,0,0,24.6,0,0,0,0,0,0,0,0,175.66,182,3.2
2022,1,3,1,0,24.3,0,0,0,0,0,0,0,0,169.85,189,3.3000000000000003
2022,1,3,2,0,24.200000000000003,0,0,0,0,0,0,0,0,156.3,196,3.3000000000000003
2022,1,3,3,0,24,0,0,0,1,0,0,0,0,142.73,202,3.3000000000000003
2022,1,3,4,0,23.8,0,0,0,0,0,0,0,0,129.26,204,3.2
2022,1,3,5,0,23.6,0,0,0,0,0,0,0,0,115.97,200,3.3000000000000003
2022,1,3,6,0,23.5,0,0,0,0,0,0,0,0,102.96000000000001,194,3.4000000000000004
2022,1,3,7,0,23.8,0,0,0,0,0,0,0,0,89.85000000000001,191,3.7
2022,1,3,8,0,24.6,41,640,171,0,41,640,0,171,78.35000000000001,189,4.5
2022,1,3,9,0,25.200000000000003,56,824,372,2,199,227,0,287,67.45,192,5
2022,1,3,10,0,25.900000000000002,66,904,543,0,66,904,0,543,58.1,200,5.1000000000000005
2022,1,3,11,0,26.1,72,942,662,0,72,942,0,662,51.22,211,4.9
2022,1,3,12,0,26.3,77,949,714,0,77,949,0,714,47.89,223,4.7
2022,1,3,13,0,26.3,77,941,696,1,77,941,0,696,48.85,235,4.7
2022,1,3,14,0,26.200000000000003,75,909,611,0,75,909,0,611,53.870000000000005,242,4.5
2022,1,3,15,0,26,68,848,467,0,68,848,0,467,61.96,246,4.2
2022,1,3,16,0,25.700000000000003,56,724,279,0,56,724,0,279,72.09,248,3.7
2022,1,3,17,0,25.1,32,429,80,0,32,429,0,80,83.45,251,3
2022,1,3,18,0,24.700000000000003,0,0,0,0,0,0,0,0,95.84,258,2.7
2022,1,3,19,0,24.6,0,0,0,0,0,0,0,0,108.63,272,2.4000000000000004
2022,1,3,20,0,24.400000000000002,0,0,0,1,0,0,0,0,121.78,294,2.2
2022,1,3,21,0,24.200000000000003,0,0,0,3,0,0,0,0,135.16,324,2.3000000000000003
2022,1,3,22,0,23.900000000000002,0,0,0,3,0,0,0,0,148.69,351,3
2022,1,3,23,0,23.5,0,0,0,3,0,0,0,0,162.27,6,4
2022,1,4,0,0,23.200000000000003,0,0,0,3,0,0,0,0,175.52,17,4.9
2022,1,4,1,0,23,0,0,0,3,0,0,0,0,169.92000000000002,27,5.6000000000000005
2022,1,4,2,0,22.900000000000002,0,0,0,3,0,0,0,0,156.38,31,6.1000000000000005
2022,1,4,3,0,22.8,0,0,0,3,0,0,0,0,142.81,34,6.300000000000001
2022,1,4,4,0,22.6,0,0,0,3,0,0,0,0,129.33,39,6.300000000000001
2022,1,4,5,0,22.5,0,0,0,3,0,0,0,0,116.04,43,6.1000000000000005
2022,1,4,6,0,22.5,0,0,0,3,0,0,0,0,103.02,45,5.800000000000001
2022,1,4,7,0,22.6,0,0,0,1,0,0,0,0,89.89,45,5.800000000000001
2022,1,4,8,0,22.900000000000002,69,375,145,3,18,0,0,18,78.38,45,6
2022,1,4,9,0,23.1,103,605,335,3,13,0,0,13,67.45,45,5.9
2022,1,4,10,0,23.3,99,782,513,3,69,0,0,69,58.08,48,5.800000000000001
2022,1,4,11,0,23.5,107,833,629,3,105,0,0,105,51.160000000000004,51,5.7
2022,1,4,12,0,23.6,110,855,684,3,93,0,0,93,47.800000000000004,53,5.5
2022,1,4,13,0,23.6,115,838,667,3,220,1,0,221,48.72,54,5.300000000000001
2022,1,4,14,0,23.700000000000003,110,804,586,3,115,0,0,115,53.730000000000004,54,5
2022,1,4,15,0,23.700000000000003,99,735,446,3,72,0,0,72,61.81,49,4.9
2022,1,4,16,0,23.6,80,594,264,3,14,0,0,14,71.94,44,5
2022,1,4,17,0,23.400000000000002,42,274,74,3,43,0,7,43,83.3,42,4.800000000000001
2022,1,4,18,0,23.400000000000002,0,0,0,1,0,0,0,0,95.7,42,4.800000000000001
2022,1,4,19,0,23.400000000000002,0,0,0,0,0,0,0,0,108.5,40,4.800000000000001
2022,1,4,20,0,23.3,0,0,0,3,0,0,0,0,121.65,37,4.800000000000001
2022,1,4,21,0,23.3,0,0,0,0,0,0,0,0,135.03,36,4.800000000000001
2022,1,4,22,0,23.200000000000003,0,0,0,3,0,0,0,0,148.56,41,4.6000000000000005
2022,1,4,23,0,23.1,0,0,0,0,0,0,0,0,162.15,51,4.5
2022,1,5,0,0,23.1,0,0,0,0,0,0,0,0,175.37,62,4.4
2022,1,5,1,0,23.1,0,0,0,0,0,0,0,0,169.99,70,4.4
2022,1,5,2,0,23.1,0,0,0,0,0,0,0,0,156.47,77,4.4
2022,1,5,3,0,23.1,0,0,0,0,0,0,0,0,142.89000000000001,81,4.4
2022,1,5,4,0,23.1,0,0,0,0,0,0,0,0,129.41,81,4
2022,1,5,5,0,23.1,0,0,0,0,0,0,0,0,116.10000000000001,78,3.6
2022,1,5,6,0,23.1,0,0,0,0,0,0,0,0,103.07000000000001,74,3.2
2022,1,5,7,0,23.400000000000002,0,0,0,0,0,0,0,0,89.93,73,2.9000000000000004
2022,1,5,8,0,23.900000000000002,43,606,164,0,43,606,0,164,78.41,79,2.8000000000000003
2022,1,5,9,0,24.200000000000003,57,800,364,0,57,800,0,364,67.46000000000001,88,2.6
2022,1,5,10,0,24.5,64,886,533,0,64,886,0,533,58.050000000000004,99,2.3000000000000003
2022,1,5,11,0,24.8,67,927,649,0,67,927,0,649,51.1,110,2
2022,1,5,12,0,25,67,944,703,1,67,944,0,703,47.69,120,1.8
2022,1,5,13,0,25.200000000000003,72,933,689,3,312,382,0,565,48.59,131,1.7000000000000002
2022,1,5,14,0,25.3,68,910,608,0,68,910,0,608,53.58,143,1.6
2022,1,5,15,0,25.3,61,854,467,0,61,854,0,467,61.660000000000004,154,1.5
2022,1,5,16,0,25.3,51,743,283,0,51,743,0,283,71.79,161,1.7000000000000002
2022,1,5,17,0,25,30,474,86,3,40,0,7,40,83.16,167,1.9000000000000001
2022,1,5,18,0,24.700000000000003,0,0,0,3,0,0,0,0,95.56,173,2.2
2022,1,5,19,0,24.6,0,0,0,3,0,0,0,0,108.36,179,2.5
2022,1,5,20,0,24.5,0,0,0,1,0,0,0,0,121.52,183,2.6
2022,1,5,21,0,24.400000000000002,0,0,0,0,0,0,0,0,134.91,186,2.8000000000000003
2022,1,5,22,0,24.3,0,0,0,0,0,0,0,0,148.44,186,2.9000000000000004
2022,1,5,23,0,24.1,0,0,0,0,0,0,0,0,162.03,185,3
2022,1,6,0,0,24,0,0,0,0,0,0,0,0,175.22,184,3.1
2022,1,6,1,0,23.900000000000002,0,0,0,0,0,0,0,0,170.06,183,3.3000000000000003
2022,1,6,2,0,23.8,0,0,0,0,0,0,0,0,156.54,182,3.5
2022,1,6,3,0,23.700000000000003,0,0,0,0,0,0,0,0,142.96,182,3.6
2022,1,6,4,0,23.700000000000003,0,0,0,0,0,0,0,0,129.48,185,3.5
2022,1,6,5,0,23.6,0,0,0,0,0,0,0,0,116.16,190,3.3000000000000003
2022,1,6,6,0,23.6,0,0,0,0,0,0,0,0,103.12,195,2.9000000000000004
2022,1,6,7,0,23.900000000000002,0,0,0,0,0,0,0,0,89.96000000000001,198,2.7
2022,1,6,8,0,24.400000000000002,41,613,164,0,41,613,0,164,78.43,200,2.8000000000000003
2022,1,6,9,0,24.8,58,796,363,0,58,796,0,363,67.45,200,2.8000000000000003
2022,1,6,10,0,25.200000000000003,68,875,532,0,68,875,0,532,58.02,202,2.9000000000000004
2022,1,6,11,0,25.5,73,916,649,0,73,916,0,649,51.03,205,2.9000000000000004
2022,1,6,12,0,25.8,74,934,704,1,74,934,0,704,47.58,210,2.9000000000000004
2022,1,6,13,0,25.900000000000002,78,920,688,0,78,920,0,688,48.45,216,2.8000000000000003
2022,1,6,14,0,25.900000000000002,74,894,607,0,74,894,0,607,53.42,225,2.6
2022,1,6,15,0,25.900000000000002,67,838,467,0,67,838,0,467,61.5,236,2.3000000000000003
2022,1,6,16,0,25.6,55,724,283,0,55,724,0,283,71.63,247,1.8
2022,1,6,17,0,25.200000000000003,32,454,87,0,32,454,0,87,83.01,250,1.1
2022,1,6,18,0,25,0,0,0,0,0,0,0,0,95.41,220,0.6000000000000001
2022,1,6,19,0,24.900000000000002,0,0,0,0,0,0,0,0,108.22,148,0.8
2022,1,6,20,0,24.700000000000003,0,0,0,0,0,0,0,0,121.39,136,1.5
2022,1,6,21,0,24.6,0,0,0,0,0,0,0,0,134.78,137,1.9000000000000001
2022,1,6,22,0,24.5,0,0,0,0,0,0,0,0,148.32,147,2
2022,1,6,23,0,24.3,0,0,0,0,0,0,0,0,161.9,161,2
2022,1,7,0,0,24.200000000000003,0,0,0,0,0,0,0,0,175.07,173,2
2022,1,7,1,0,24,0,0,0,0,0,0,0,0,170.12,182,2
2022,1,7,2,0,23.8,0,0,0,0,0,0,0,0,156.62,188,2
2022,1,7,3,0,23.700000000000003,0,0,0,0,0,0,0,0,143.04,189,2
2022,1,7,4,0,23.5,0,0,0,0,0,0,0,0,129.54,181,2
2022,1,7,5,0,23.5,0,0,0,0,0,0,0,0,116.22,172,2.2
