Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4469509,-,-,-,24.96,-78.05,-5,9,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,DHI,DNI,Fill Flag,GHI,Solar Zenith Angle,Wind Direction,Wind Speed
2024,1,1,0,0,19.200000000000003,0,0,0,1,0,0,0,0,176,2,0
2024,1,1,1,0,19.1,0,0,0,1,0,0,0,0,169.64000000000001,8,0
2024,1,1,2,0,19.1,0,0,0,1,0,0,0,0,156.07,18,0
2024,1,1,3,0,19,0,0,0,1,0,0,0,0,142.51,31,0
2024,1,1,4,0,18.900000000000002,0,0,0,1,0,0,0,0,129.05,41,0
2024,1,1,5,0,18.8,0,0,0,3,0,0,0,0,115.78,44,0
2024,1,1,6,0,18.8,0,0,0,1,0,0,0,0,102.79,49,0
2024,1,1,7,0,19.1,0,0,0,0,0,0,0,0,89.73,54,0
2024,1,1,8,0,19.900000000000002,41,683,180,0,41,683,0,180,78.25,49,0
2024,1,1,9,0,20.200000000000003,57,857,386,0,57,857,0,386,67.4,42,0
2024,1,1,10,0,20.5,64,940,560,0,64,940,0,560,58.120000000000005,38,0
2024,1,1,11,0,20.8,68,979,680,0,68,979,0,680,51.33,34,0
2024,1,1,12,0,21,70,990,731,0,70,990,0,731,48.09,33,0
2024,1,1,13,0,21.1,67,988,714,0,67,988,0,714,49.13,33,0
2024,1,1,14,0,21.1,65,962,628,0,65,962,0,628,54.2,34,0
2024,1,1,15,0,21.200000000000003,59,907,481,0,59,907,0,481,62.31,29,0
2024,1,1,16,0,21,50,793,289,0,50,793,0,289,72.44,30,0
