datetime_local,DNI_W_m2,DHI_W_m2,GHI_W_m2,solar_zenith_nsrdb_deg,solar_zenith_calc_deg,solar_azimuth_deg,AOI_deg,G_tilted_W_m2,T_amb_C,T_cell_C,P_dc_W,P_dc_kW,cloud_type,fill_flag
2023-01-01T00:00:00,0.0,0.0,0.0,175.97,176.038,0.0,160.03,0.0,24.4,24.4,0.0,0.0,0,0
2023-01-01T01:00:00,0.0,0.0,0.0,169.66,169.565,0.0,166.34,0.0,24.3,24.3,0.0,0.0,3,0
2023-01-01T02:00:00,0.0,0.0,0.0,156.1,155.998,0.0,179.9,0.0,24.3,24.3,0.0,0.0,7,0
2023-01-01T03:00:00,0.0,0.0,0.0,142.53,142.428,0.0,166.53,0.0,24.2,24.2,0.0,0.0,1,0
2023-01-01T04:00:00,0.0,0.0,0.0,129.07,128.967,0.0,153.07,0.0,24.2,24.2,0.0,0.0,0,0
2023-01-01T05:00:00,0.0,0.0,0.0,115.8,115.693,0.0,139.8,0.0,24.2,24.2,0.0,0.0,0,0
2023-01-01T06:00:00,0.0,0.0,0.0,102.81,102.704,0.0,126.81,0.0,24.3,24.3,0.0,0.0,1,0
2023-01-01T07:00:00,0.0,0.0,0.0,89.75,90.145,0.0,113.75,0.0,24.5,24.5,0.0,0.0,1,0
2023-01-01T08:00:00,581.0,47.0,165.0,78.27,78.242,57.499,91.619,46.39,25.0,26.45,238.36,0.2384,0,0
2023-01-01T09:00:00,775.0,65.0,362.0,67.41,67.359,48.598,84.113,144.81,25.4,29.93,734.89,0.7349,0,0
2023-01-01T10:00:00,874.0,70.0,532.0,58.12,58.085,37.073,78.059,252.42,25.7,33.59,1264.23,1.2642,0,0
2023-01-01T11:00:00,915.0,74.0,646.0,51.32,51.311,22.306,73.908,330.01,25.9,36.21,1637.19,1.6372,0,0
2023-01-01T12:00:00,929.0,76.0,697.0,48.08,48.111,4.67,72.019,365.52,26.1,37.52,1804.72,1.8047,0,0
2023-01-01T13:00:00,922.0,77.0,680.0,49.11,49.191,346.308,72.586,355.48,26.2,37.31,1756.53,1.7565,0,0
2023-01-01T14:00:00,893.0,73.0,596.0,54.17,54.295,329.943,75.561,297.67,26.2,35.5,1480.59,1.4806,0,0
2023-01-01T15:00:00,838.0,65.0,455.0,62.28,62.441,316.827,80.657,202.17,26.1,32.42,1016.87,1.0169,0,0
2023-01-01T16:00:00,721.0,53.0,271.0,72.4,72.605,306.704,87.449,85.14,25.9,28.56,434.19,0.4342,0,0
2023-01-01T17:00:00,441.0,29.0,77.0,83.76,84.052,298.817,95.486,28.41,25.4,26.29,146.05,0.1461,0,0
2023-01-01T18:00:00,0.0,0.0,0.0,96.14,96.316,0.0,120.14,0.0,25.1,25.1,0.0,0.0,0,0
2023-01-01T19:00:00,0.0,0.0,0.0,108.93,109.11,0.0,132.93,0.0,24.9,24.9,0.0,0.0,0,0
2023-01-01T20:00:00,0.0,0.0,0.0,122.07,122.255,0.0,146.07,0.0,24.9,24.9,0.0,0.0,0,0
2023-01-01T21:00:00,0.0,0.0,0.0,135.44,135.633,0.0,159.44,0.0,24.8,24.8,0.0,0.0,0,0
2023-01-01T22:00:00,0.0,0.0,0.0,148.96,149.157,0.0,172.96,0.0,24.8,24.8,0.0,0.0,0,0
2023-01-01T23:00:00,0.0,0.0,0.0,162.55,162.749,0.0,173.45,0.0,24.7,24.7,0.0,0.0,0,0
2023-01-02T00:00:00,0.0,0.0,0.0,175.83,175.908,0.0,160.17,0.0,24.6,24.6,0.0,0.0,0,0
2023-01-02T01:00:00,0.0,0.0,0.0,169.74,169.647,0.0,166.26,0.0,24.5,24.5,0.0,0.0,0,0
2023-01-02T02:00:00,0.0,0.0,0.0,156.19,156.086,0.0,179.81,0.0,24.4,24.4,0.0,0.0,0,0
2023-01-02T03:00:00,0.0,0.0,0.0,142.62,142.513,0.0,166.62,0.0,24.3,24.3,0.0,0.0,0,0
2023-01-02T04:00:00,0.0,0.0,0.0,129.16,129.047,0.0,153.16,0.0,24.3,24.3,0.0,0.0,0,0
2023-01-02T05:00:00,0.0,0.0,0.0,115.88,115.766,0.0,139.88,0.0,24.2,24.2,0.0,0.0,0,0
2023-01-02T06:00:00,0.0,0.0,0.0,102.88,102.769,0.0,126.88,0.0,24.2,24.2,0.0,0.0,0,0
2023-01-02T07:00:00,0.0,0.0,0.0,89.8,90.2,0.0,113.8,0.0,24.4,24.4,0.0,0.0,0,0
2023-01-02T08:00:00,595.0,44.0,165.0,78.31,78.283,57.627,91.614,43.52,25.0,26.36,223.68,0.2237,0,0
2023-01-02T09:00:00,779.0,61.0,360.0,67.43,67.381,48.738,84.092,141.66,25.2,29.63,719.65,0.7196,0,0
2023-01-02T10:00:00,8.0,218.0,222.0,58.12,58.081,37.228,78.026,212.16,25.5,32.13,1068.18,1.0682,2,0
2023-01-02T11:00:00,911.0,73.0,643.0,51.28,51.275,22.467,73.848,328.83,25.7,35.98,1632.75,1.6328,0,0
2023-01-02T12:00:00,308.0,337.0,543.0,48.0,48.039,4.817,71.936,422.63,25.9,39.11,2074.62,2.0746,3,0
2023-01-02T13:00:00,914.0,78.0,678.0,49.0,49.088,346.416,72.485,355.57,25.9,37.01,1758.87,1.7589,1,0
2023-01-02T14:00:00,534.0,176.0,490.0,54.04,54.174,330.004,75.444,306.84,25.9,35.49,1526.26,1.5263,8,0
2023-01-02T15:00:00,296.0,194.0,332.0,62.14,62.311,316.852,80.528,237.19,25.8,33.21,1189.6,1.1896,7,0
2023-01-02T16:00:00,696.0,57.0,269.0,72.26,72.474,306.703,87.316,89.45,25.6,28.4,456.41,0.4564,1,0
2023-01-02T17:00:00,399.0,32.0,76.0,83.62,83.922,298.799,95.349,31.27,25.2,26.18,160.82,0.1608,0,0
2023-01-02T18:00:00,0.0,0.0,0.0,96.01,96.188,0.0,120.01,0.0,25.0,25.0,0.0,0.0,0,0
2023-01-02T19:00:00,0.0,0.0,0.0,108.8,108.986,0.0,132.8,0.0,24.9,24.9,0.0,0.0,0,0
2023-01-02T20:00:00,0.0,0.0,0.0,121.94,122.134,0.0,145.94,0.0,24.8,24.8,0.0,0.0,0,0
2023-01-02T21:00:00,0.0,0.0,0.0,135.32,135.515,0.0,159.32,0.0,24.8,24.8,0.0,0.0,0,0
2023-01-02T22:00:00,0.0,0.0,0.0,148.84,149.041,0.0,172.84,0.0,24.8,24.8,0.0,0.0,0,0
2023-01-02T23:00:00,0.0,0.0,0.0,162.43,162.633,0.0,173.57,0.0,24.7,24.7,0.0,0.0,0,0
2023-01-03T00:00:00,0.0,0.0,0.0,175.69,175.776,0.0,160.31,0.0,24.7,24.7,0.0,0.0,0,0
2023-01-03T01:00:00,0.0,0.0,0.0,169.83,169.725,0.0,166.17,0.0,24.6,24.6,0.0,0.0,0,0
2023-01-03T02:00:00,0.0,0.0,0.0,156.28,156.17,0.0,179.72,0.0,24.6,24.6,0.0,0.0,0,0
2023-01-03T03:00:00,0.0,0.0,0.0,142.7,142.595,0.0,166.7,0.0,24.6,24.6,0.0,0.0,0,0
2023-01-03T04:00:00,0.0,0.0,0.0,129.24,129.124,0.0,153.24,0.0,24.5,24.5,0.0,0.0,0,0
2023-01-03T05:00:00,0.0,0.0,0.0,115.95,115.837,0.0,139.95,0.0,24.5,24.5,0.0,0.0,0,0
2023-01-03T06:00:00,0.0,0.0,0.0,102.94,102.831,0.0,126.94,0.0,24.6,24.6,0.0,0.0,1,0
2023-01-03T07:00:00,0.0,0.0,0.0,89.84,90.251,0.0,113.84,0.0,24.9,24.9,0.0,0.0,3,7
2023-01-03T08:00:00,606.0,44.0,166.0,78.34,78.319,57.759,91.597,43.53,25.4,26.76,223.41,0.2234,0,0
2023-01-03T09:00:00,798.0,60.0,366.0,67.44,67.397,48.883,84.06,143.15,25.7,30.17,725.8,0.7258,0,0
2023-01-03T10:00:00,891.0,66.0,536.0,58.1,58.072,37.386,77.972,253.45,25.9,33.82,1268.35,1.2684,0,0
2023-01-03T11:00:00,930.0,71.0,653.0,51.23,51.232,22.631,73.778,333.38,26.2,36.62,1651.48,1.6515,0,0
2023-01-03T12:00:00,944.0,74.0,707.0,47.91,47.96,4.964,71.842,371.1,26.3,37.9,1829.79,1.8298,1,0
2023-01-03T13:00:00,939.0,74.0,692.0,48.88,48.979,346.52,72.373,361.13,26.4,37.69,1781.98,1.782,0,0
2023-01-03T14:00:00,911.0,72.0,609.0,53.9,54.047,330.06,75.317,305.07,26.5,36.03,1514.46,1.5145,0,0
2023-01-03T15:00:00,849.0,66.0,465.0,62.0,62.178,316.87,80.399,208.77,26.4,32.92,1048.15,1.0482,0,0
2023-01-03T16:00:00,729.0,55.0,279.0,72.12,72.34,306.696,87.182,90.88,26.2,29.04,462.64,0.4626,0,0
2023-01-03T17:00:00,436.0,32.0,81.0,83.48,83.79,298.775,95.209,31.32,25.6,26.58,160.82,0.1608,0,0
2023-01-03T18:00:00,0.0,0.0,0.0,95.87,96.059,0.0,119.87,0.0,25.3,25.3,0.0,0.0,0,0
2023-01-03T19:00:00,0.0,0.0,0.0,108.67,108.86,0.0,132.67,0.0,25.2,25.2,0.0,0.0,0,0
2023-01-03T20:00:00,0.0,0.0,0.0,121.81,122.012,0.0,145.81,0.0,25.1,25.1,0.0,0.0,0,0
2023-01-03T21:00:00,0.0,0.0,0.0,135.19,135.395,0.0,159.19,0.0,25.1,25.1,0.0,0.0,0,0
