datetime_local,P_dc_kW,P_solar_ac_kW,GHI_W_m2,is_daytime,pump_scheduled_day,pump_on,pump_hours_today,failure_reason,P_solar_to_pump_kW,P_battery_to_pump_kW,P_total_to_pump_kW,P_solar_to_battery_kW,P_curtailed_kW,battery_delta_kWh,battery_soc_kWh,battery_soc_pct
2024-01-01 00:00:00,0.0,0.0,0.0,False,True,False,0,no_power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.0,0.0,0.0,False,True,False,0,no_power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,0.0,0.0,False,True,False,0,no_power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,0.0,0.0,0.0,False,True,False,0,no_power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,0.0,0.0,False,True,False,0,no_power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,0.0,0.0,0.0,False,True,False,0,no_power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 06:00:00,0.0,0.0,0.0,False,True,False,0,no_power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 07:00:00,0.0,0.0,0.0,False,True,False,0,no_power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 08:00:00,0.213,0.205,180.0,True,True,False,0,no_power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 09:00:00,0.754,0.724,386.0,True,True,False,0,no_power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 10:00:00,1.328,1.275,560.0,True,True,True,1,ok,1.263,0.0,1.263,0.0,0.012,0.0,0.0,0.0
2024-01-01 11:00:00,1.727,1.658,680.0,True,True,True,2,ok,1.263,0.0,1.263,0.0,0.395,0.0,0.0,0.0
2024-01-01 12:00:00,1.902,1.826,731.0,True,True,True,3,ok,1.263,0.0,1.263,0.0,0.563,0.0,0.0,0.0
2024-01-01 13:00:00,1.838,1.765,714.0,True,True,True,4,ok,1.263,0.0,1.263,0.0,0.502,0.0,0.0,0.0
