date,Tmax_C,Tmin_C,Tmean_C,RHmax_pct,RHmin_pct,RHmean_pct,u10_m_s,u2_m_s,Rs_MJ_m2_day,Ra_MJ_m2_day,Rso_MJ_m2_day,Rns_MJ_m2_day,Rnl_MJ_m2_day,Rn_MJ_m2_day,es_kPa,ea_kPa,VPD_kPa,delta_kPa_C,gamma_kPa_C,ET0_mm_day,precip_mm_day
2020-01-01,24.9,23.2,24.05,96.0,68.0,83.8,3.042,2.275,14.612,22.995,17.25,11.252,3.689,7.562,2.9963,2.4356,0.5607,0.1796,0.0673,2.72,0.9
2020-01-02,25.9,23.0,24.45,90.0,58.0,79.7,4.288,3.207,16.06,23.044,17.287,12.366,4.549,7.817,3.0755,2.2333,0.8422,0.1834,0.0673,3.5,0.0
2020-01-03,26.5,23.8,25.15,93.0,57.0,80.0,5.013,3.749,13.752,23.096,17.326,10.589,3.503,7.086,3.2052,2.3576,0.8475,0.1902,0.0673,3.48,0.0
2020-01-04,26.5,24.1,25.3,98.0,57.0,83.2,4.888,3.656,16.441,23.153,17.369,12.66,4.351,8.308,3.232,2.4576,0.7744,0.1916,0.0673,3.57,0.0
2020-01-05,24.2,20.6,22.4,94.0,50.0,65.8,8.037,6.012,16.625,23.213,17.414,12.801,5.174,7.628,2.7232,1.8955,0.8278,0.1646,0.0673,4.15,0.3
2020-01-06,22.4,20.6,21.5,59.0,50.0,55.0,4.733,3.54,12.791,23.277,17.462,9.849,4.127,5.722,2.5678,1.3931,1.1747,0.1569,0.0673,4.0,0.0
2020-01-07,24.0,21.6,22.8,76.0,47.0,57.6,2.892,2.163,10.04,23.345,17.513,7.731,2.527,5.204,2.782,1.6817,1.1004,0.1681,0.0673,2.96,0.0
2020-01-08,23.7,21.8,22.75,79.0,42.0,59.5,6.113,4.572,16.427,23.416,17.567,12.649,5.499,7.149,2.7712,1.6471,1.1241,0.1677,0.0673,4.54,0.0
2020-01-09,23.9,22.4,23.15,71.0,45.0,56.1,9.146,6.841,15.21,23.491,17.623,11.712,4.97,6.742,2.8376,1.6291,1.2085,0.1713,0.0673,5.47,0.0
2020-01-10,24.9,23.2,24.05,84.0,64.0,75.2,9.575,7.162,15.707,23.57,17.682,12.094,4.297,7.797,2.9963,2.202,0.7943,0.1796,0.0673,4.21,2.2
2020-01-11,25.9,24.0,24.95,86.0,67.0,79.2,7.85,5.871,16.366,23.652,17.743,12.602,4.264,8.338,3.1628,2.4025,0.7602,0.1882,0.0673,3.97,0.4
2020-01-12,25.9,24.2,25.05,92.0,66.0,80.0,7.35,5.497,16.157,23.738,17.807,12.441,4.037,8.404,3.1808,2.4919,0.6889,0.1892,0.0673,3.71,3.2
2020-01-13,25.7,24.1,24.9,89.0,59.0,78.2,6.646,4.971,15.361,23.827,17.874,11.828,3.989,7.839,3.1521,2.31,0.8421,0.1877,0.0673,3.94,1.2
2020-01-14,25.7,23.7,24.7,91.0,51.0,70.7,5.8,4.338,17.258,23.919,17.944,13.289,4.887,8.402,3.1164,2.1755,0.9409,0.1858,0.0673,4.16,0.7
2020-01-15,25.7,23.2,24.45,74.0,49.0,60.2,4.717,3.528,17.507,24.015,18.016,13.48,5.513,7.967,3.0729,1.8612,1.2118,0.1834,0.0673,4.43,0.0
2020-01-16,24.7,22.4,23.55,83.0,44.0,63.7,4.454,3.331,17.683,24.114,18.09,13.616,5.591,8.025,2.9103,1.8088,1.1015,0.1749,0.0673,4.15,0.0
2020-01-17,24.4,22.0,23.2,85.0,61.0,72.5,6.517,4.874,11.974,24.217,18.167,9.22,2.843,6.376,2.8501,2.0558,0.7943,0.1717,0.0673,3.53,2.2
2020-01-18,23.4,21.7,22.55,72.0,50.0,60.3,8.2,6.133,17.147,24.322,18.246,13.203,5.509,7.694,2.7371,1.6541,1.083,0.1659,0.0673,5.04,0.0
2020-01-19,24.7,21.8,23.25,82.0,44.0,62.9,3.454,2.584,15.149,24.431,18.328,11.665,4.479,7.185,2.8617,1.7554,1.1063,0.1722,0.0673,3.65,0.0
2020-01-20,24.9,21.7,23.3,98.0,54.0,78.8,3.008,2.25,15.376,24.543,18.412,11.839,4.006,7.833,2.8725,2.1222,0.7502,0.1726,0.0673,3.08,0.3
2020-01-21,23.0,18.4,20.7,83.0,50.0,69.3,6.025,4.506,14.76,24.658,18.498,11.365,4.362,7.004,2.463,1.5807,0.8823,0.1503,0.0673,3.9,0.1
2020-01-22,20.8,16.4,18.6,75.0,51.0,61.1,9.475,7.087,16.438,24.776,18.586,12.657,5.363,7.294,2.1609,1.3259,0.835,0.1341,0.0673,4.48,0.0
2020-01-23,23.4,20.7,22.05,72.0,52.0,63.8,6.0,4.488,13.828,24.897,18.677,10.647,3.904,6.743,2.6598,1.6273,1.0326,0.1616,0.0673,4.21,0.3
2020-01-24,23.7,21.5,22.6,87.0,55.0,70.8,3.608,2.699,17.309,25.021,18.77,13.328,4.9,8.428,2.7475,1.9214,0.8261,0.1664,0.0673,3.48,0.7
2020-01-25,24.1,21.7,22.9,91.0,48.0,74.3,1.821,1.362,17.395,25.147,18.865,13.394,4.953,8.441,2.7989,1.9016,0.8973,0.169,0.0673,3.11,0.6
