date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm
2024-09-01,1,Initial,0.3,3.0,0.9,16.6,13.28,0.0
2024-09-02,2,Initial,0.3,3.58,1.07,1.6,1.28,0.0
2024-09-03,3,Initial,0.3,5.12,1.54,1.1,0.88,0.66
2024-09-04,4,Initial,0.3,4.92,1.48,0.2,0.16,1.32
2024-09-05,5,Initial,0.3,4.44,1.33,1.5,1.2,0.13
2024-09-06,6,Initial,0.3,4.27,1.28,0.7,0.56,0.72
2024-09-07,7,Initial,0.3,4.89,1.47,0.4,0.32,1.15
2024-09-08,8,Initial,0.3,4.76,1.43,1.8,1.44,0.0
2024-09-09,9,Initial,0.3,3.93,1.18,1.6,1.28,0.0
2024-09-10,10,Initial,0.3,3.35,1.0,5.2,4.16,0.0
2024-09-11,11,Initial,0.3,3.42,1.03,11.4,9.12,0.0
2024-09-12,12,Initial,0.3,2.65,0.79,12.5,10.0,0.0
2024-09-13,13,Initial,0.3,3.54,1.06,6.6,5.28,0.0
2024-09-14,14,Initial,0.3,3.63,1.09,9.8,7.84,0.0
2024-09-15,15,Initial,0.3,3.43,1.03,5.8,4.64,0.0
2024-09-16,16,Initial,0.3,3.05,0.91,8.3,6.64,0.0
2024-09-17,17,Initial,0.3,1.42,0.43,22.9,18.32,0.0
2024-09-18,18,Initial,0.3,3.14,0.94,1.1,0.88,0.06
2024-09-19,19,Initial,0.3,2.99,0.9,4.8,3.84,0.0
2024-09-20,20,Initial,0.3,3.75,1.12,6.6,5.28,0.0
2024-09-21,21,Initial,0.3,3.53,1.06,1.4,1.12,0.0
2024-09-22,22,Initial,0.3,3.82,1.15,1.1,0.88,0.27
2024-09-23,23,Initial,0.3,4.66,1.4,0.0,0.0,1.4
2024-09-24,24,Initial,0.3,3.46,1.04,4.2,3.36,0.0
2024-09-25,25,Initial,0.3,3.52,1.06,8.1,6.48,0.0
2024-09-26,26,Initial,0.3,3.77,1.13,0.5,0.4,0.73
2024-09-27,27,Initial,0.3,3.46,1.04,0.2,0.16,0.88
2024-09-28,28,Initial,0.3,3.49,1.05,2.6,2.08,0.0
2024-09-29,29,Initial,0.3,4.46,1.34,0.4,0.32,1.02
2024-09-30,30,Initial,0.3,4.33,1.3,0.0,0.0,1.3
2024-10-01,31,Initial,0.3,4.38,1.31,0.0,0.0,1.31
2024-10-02,32,Initial,0.3,4.39,1.32,1.7,1.36,0.0
2024-10-03,33,Initial,0.3,3.02,0.91,0.0,0.0,0.91
2024-10-04,34,Initial,0.3,3.86,1.16,1.0,0.8,0.36
2024-10-05,35,Initial,0.3,4.2,1.26,3.0,2.4,0.0
2024-10-06,36,Initial,0.3,2.54,0.76,7.7,6.16,0.0
2024-10-07,37,Initial,0.3,0.85,0.26,52.5,42.0,0.0
2024-10-08,38,Initial,0.3,2.05,0.61,9.6,7.68,0.0
2024-10-09,39,Initial,0.3,3.62,1.09,3.0,2.4,0.0
2024-10-10,40,Initial,0.3,3.4,1.02,7.8,6.24,0.0
2024-10-11,41,Initial,0.3,3.51,1.05,0.4,0.32,0.73
2024-10-12,42,Initial,0.3,3.31,0.99,1.7,1.36,0.0
2024-10-13,43,Initial,0.3,2.24,0.67,11.4,9.12,0.0
2024-10-14,44,Initial,0.3,3.47,1.04,2.8,2.24,0.0
2024-10-15,45,Initial,0.3,2.17,0.65,0.2,0.16,0.49
2024-10-16,46,Initial,0.3,1.98,0.59,6.8,5.44,0.0
2024-10-17,47,Initial,0.3,1.59,0.48,8.6,6.88,0.0
2024-10-18,48,Initial,0.3,1.2,0.36,22.0,17.6,0.0
2024-10-19,49,Initial,0.3,3.11,0.93,0.1,0.08,0.85
2024-10-20,50,Initial,0.3,3.47,1.04,0.0,0.0,1.04
2024-10-21,51,Initial,0.3,2.94,0.88,1.3,1.04,0.0
2024-10-22,52,Initial,0.3,3.54,1.06,2.4,1.92,0.0
2024-10-23,53,Initial,0.3,3.59,1.08,0.0,0.0,1.08
