date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_target_mm,swd_mm
2019-09-01,1,Initial,0.6,2.93,1.76,16.7,13.36,0.0,0.0,0.0
2019-09-02,2,Initial,0.6,2.36,1.42,18.7,14.96,0.0,0.0,0.0
2019-09-03,3,Initial,0.6,3.5,2.1,26.5,21.2,0.0,0.0,0.0
2019-09-04,4,Initial,0.6,4.74,2.84,13.7,10.96,0.0,0.0,0.0
2019-09-05,5,Initial,0.6,4.79,2.87,4.0,3.2,0.0,0.0,0.0
2019-09-06,6,Initial,0.6,5.4,3.24,0.5,0.4,2.84,0.0,2.84
2019-09-07,7,Initial,0.6,5.07,3.04,1.8,1.44,1.6,0.0,4.44
2019-09-08,8,Initial,0.6,5.06,3.04,0.8,0.64,2.4,0.0,6.84
2019-09-09,9,Initial,0.6,5.25,3.15,1.5,1.2,1.95,8.79,0.0
2019-09-10,10,Initial,0.6,5.82,3.49,1.9,1.52,1.97,0.0,1.97
2019-09-11,11,Initial,0.6,5.08,3.05,5.7,4.56,0.0,0.0,0.46
2019-09-12,12,Initial,0.6,5.54,3.32,2.5,2.0,1.32,1.78,0.0
2019-09-13,13,Initial,0.6,5.06,3.04,3.6,2.88,0.16,0.0,0.16
2019-09-14,14,Initial,0.6,4.47,2.68,10.2,8.16,0.0,0.0,0.0
2019-09-15,15,Initial,0.6,3.95,2.37,2.0,1.6,0.77,0.0,0.77
2019-09-16,16,Initial,0.6,3.92,2.35,18.1,14.48,0.0,0.0,0.0
2019-09-17,17,Initial,0.6,5.27,3.16,0.6,0.48,2.68,0.0,2.68
2019-09-18,18,Initial,0.6,5.32,3.19,0.4,0.32,2.87,0.0,5.55
2019-09-19,19,Initial,0.6,6.98,4.19,0.4,0.32,3.87,9.42,0.0
2019-09-20,20,Initial,0.6,5.72,3.43,7.8,6.24,0.0,0.0,0.0
2019-09-21,21,Initial,0.6,3.92,2.35,6.7,5.36,0.0,0.0,0.0
2019-09-22,22,Initial,0.6,2.06,1.24,25.0,20.0,0.0,0.0,0.0
2019-09-23,23,Initial,0.6,3.99,2.39,13.8,11.04,0.0,0.0,0.0
2019-09-24,24,Initial,0.6,5.08,3.05,0.5,0.4,2.65,0.0,2.65
2019-09-25,25,Initial,0.6,4.7,2.82,0.2,0.16,2.66,0.0,5.31
2019-09-26,26,Initial,0.6,3.85,2.31,1.6,1.28,1.03,6.34,0.0
2019-09-27,27,Initial,0.6,5.29,3.17,0.7,0.56,2.61,0.0,2.61
2019-09-28,28,Initial,0.6,4.7,2.82,1.7,1.36,1.46,0.0,4.07
2019-09-29,29,Initial,0.6,5.7,3.42,1.3,1.04,2.38,0.0,6.45
2019-09-30,30,Initial,0.6,6.06,3.64,3.1,2.48,1.16,7.61,0.0
2019-10-01,31,Development,0.614,5.44,3.34,0.9,0.72,2.62,0.0,2.62
2019-10-02,32,Development,0.627,3.85,2.42,4.9,3.92,0.0,0.0,1.12
2019-10-03,33,Development,0.641,4.18,2.68,2.0,1.6,1.08,2.2,0.0
2019-10-04,34,Development,0.655,4.14,2.71,2.2,1.76,0.95,0.0,0.95
2019-10-05,35,Development,0.669,4.74,3.17,2.1,1.68,1.49,0.0,2.44
2019-10-06,36,Development,0.682,5.3,3.62,2.3,1.84,1.78,0.0,4.22
2019-10-07,37,Development,0.696,2.51,1.75,13.5,10.8,0.0,0.0,0.0
2019-10-08,38,Development,0.71,4.39,3.12,5.0,4.0,0.0,0.0,0.0
2019-10-09,39,Development,0.724,3.9,2.82,2.2,1.76,1.06,0.0,1.06
2019-10-10,40,Development,0.737,4.18,3.08,3.5,2.8,0.28,1.34,0.0
2019-10-11,41,Development,0.751,4.46,3.35,3.4,2.72,0.63,0.0,0.63
2019-10-12,42,Development,0.765,2.82,2.16,6.5,5.2,0.0,0.0,0.0
2019-10-13,43,Development,0.779,4.79,3.73,0.3,0.24,3.49,0.0,3.49
2019-10-14,44,Development,0.792,4.98,3.95,0.0,0.0,3.95,7.44,0.0
2019-10-15,45,Development,0.806,4.48,3.61,0.0,0.0,3.61,0.0,3.61
2019-10-16,46,Development,0.82,4.39,3.6,0.6,0.48,3.12,6.73,0.0
2019-10-17,47,Development,0.834,4.13,3.44,0.6,0.48,2.96,0.0,2.96
2019-10-18,48,Development,0.847,3.38,2.86,1.0,0.8,2.06,5.02,0.0
2019-10-19,49,Development,0.861,2.93,2.52,1.6,1.28,1.24,0.0,1.24
2019-10-20,50,Development,0.875,3.98,3.48,5.8,4.64,0.0,0.0,0.08
2019-10-21,51,Development,0.889,4.59,4.08,3.7,2.96,1.12,1.2,0.0
2019-10-22,52,Development,0.902,4.62,4.17,0.0,0.0,4.17,0.0,4.17
2019-10-23,53,Development,0.916,4.73,4.33,0.0,0.0,4.33,8.5,0.0
2019-10-24,54,Development,0.93,5.0,4.65,0.6,0.48,4.17,0.0,4.17
2019-10-25,55,Development,0.944,5.28,4.98,0.9,0.72,4.26,8.43,0.0
2019-10-26,56,Development,0.958,3.86,3.7,4.9,3.92,0.0,0.0,0.0
2019-10-27,57,Development,0.971,3.55,3.45,0.5,0.4,3.05,0.0,3.05
2019-10-28,58,Development,0.985,4.59,4.52,0.4,0.32,4.2,7.25,0.0
2019-10-29,59,Development,0.999,4.69,4.68,0.5,0.4,4.28,4.28,0.0
2019-10-30,60,Development,1.012,4.83,4.89,0.3,0.24,4.65,0.0,4.65
2019-10-31,61,Development,1.026,4.58,4.7,2.4,1.92,2.78,7.43,0.0
2019-11-01,62,Development,1.04,4.06,4.22,2.5,2.0,2.22,2.22,0.0
2019-11-02,63,Development,1.054,4.33,4.56,0.3,0.24,4.32,0.0,4.32
2019-11-03,64,Development,1.067,4.4,4.7,0.5,0.4,4.3,0.0,8.62
2019-11-04,65,Development,1.081,4.83,5.22,0.4,0.32,4.9,13.52,0.0
2019-11-05,66,Development,1.095,4.63,5.07,0.2,0.16,4.91,4.91,0.0
2019-11-06,67,Development,1.109,4.37,4.85,1.2,0.96,3.89,0.0,3.89
2019-11-07,68,Development,1.123,4.28,4.8,2.0,1.6,3.2,7.09,0.0
2019-11-08,69,Development,1.136,3.47,3.94,3.1,2.48,1.46,1.46,0.0
2019-11-09,70,Development,1.15,3.02,3.47,1.1,0.88,2.59,0.0,2.59
2019-11-10,71,Mid-season,1.15,5.09,5.85,0.0,0.0,5.85,0.0,8.44
2019-11-11,72,Mid-season,1.15,5.51,6.34,0.0,0.0,6.34,14.78,0.0
2019-11-12,73,Mid-season,1.15,3.22,3.7,0.1,0.08,3.62,3.62,0.0
2019-11-13,74,Mid-season,1.15,3.34,3.84,0.1,0.08,3.76,0.0,3.76
2019-11-14,75,Mid-season,1.15,3.63,4.17,1.0,0.8,3.37,7.13,0.0
2019-11-15,76,Mid-season,1.15,3.91,4.5,0.0,0.0,4.5,4.5,0.0
2019-11-16,77,Mid-season,1.15,3.54,4.07,6.3,5.04,0.0,0.0,0.0
2019-11-17,78,Mid-season,1.15,3.64,4.19,0.0,0.0,4.19,0.0,4.19
2019-11-18,79,Mid-season,1.15,2.92,3.36,0.0,0.0,3.36,7.55,0.0
2019-11-19,80,Mid-season,1.15,3.32,3.82,0.0,0.0,3.82,3.82,0.0
2019-11-20,81,Mid-season,1.15,3.69,4.24,0.0,0.0,4.24,4.24,0.0
2019-11-21,82,Mid-season,1.15,5.24,6.03,0.0,0.0,6.03,6.03,0.0
2019-11-22,83,Mid-season,1.15,4.64,5.34,0.2,0.16,5.18,5.18,0.0
2019-11-23,84,Mid-season,1.15,3.83,4.4,0.0,0.0,4.4,0.0,4.4
2019-11-24,85,Mid-season,1.15,3.68,4.23,0.0,0.0,4.23,0.0,8.63
2019-11-25,86,Mid-season,1.15,3.34,3.84,0.0,0.0,3.84,12.47,0.0
2019-11-26,87,Mid-season,1.15,3.54,4.07,0.0,0.0,4.07,4.07,0.0
2019-11-27,88,Mid-season,1.15,3.54,4.07,0.5,0.4,3.67,0.0,3.67
2019-11-28,89,Mid-season,1.15,3.96,4.55,0.1,0.08,4.47,8.14,0.0
2019-11-29,90,Mid-season,1.15,4.12,4.74,0.0,0.0,4.74,4.74,0.0
2019-11-30,91,Mid-season,1.15,4.0,4.6,0.0,0.0,4.6,0.0,4.6
2019-12-01,92,Mid-season,1.15,3.77,4.34,0.1,0.08,4.26,0.0,8.86
2019-12-02,93,Mid-season,1.15,3.82,4.39,0.6,0.48,3.91,12.77,0.0
2019-12-03,94,Mid-season,1.15,3.6,4.14,0.2,0.16,3.98,3.98,0.0
2019-12-04,95,Mid-season,1.15,3.83,4.4,0.0,0.0,4.4,0.0,4.4
2019-12-05,96,Mid-season,1.15,3.17,3.65,0.1,0.08,3.57,7.97,0.0
2019-12-06,97,Mid-season,1.15,3.52,4.05,0.0,0.0,4.05,4.05,0.0
2019-12-07,98,Mid-season,1.15,3.1,3.56,0.0,0.0,3.56,0.0,3.56
2019-12-08,99,Mid-season,1.15,3.66,4.21,0.1,0.08,4.13,0.0,7.69
2019-12-09,100,Mid-season,1.15,3.41,3.92,0.1,0.08,3.84,11.53,0.0
2019-12-10,101,Mid-season,1.15,3.45,3.97,1.0,0.8,3.17,0.0,3.17
2019-12-11,102,Mid-season,1.15,3.32,3.82,0.8,0.64,3.18,6.35,0.0
2019-12-12,103,Mid-season,1.15,4.03,4.63,0.7,0.56,4.07,0.0,4.07
2019-12-13,104,Mid-season,1.15,2.39,2.75,8.7,6.96,0.0,0.0,0.0
2019-12-14,105,Mid-season,1.15,3.52,4.05,4.4,3.52,0.53,0.0,0.53
2019-12-15,106,Mid-season,1.15,3.21,3.69,1.6,1.28,2.41,0.0,2.94
2019-12-16,107,Mid-season,1.15,3.29,3.78,1.1,0.88,2.9,5.84,0.0
2019-12-17,108,Mid-season,1.15,3.71,4.27,0.6,0.48,3.79,0.0,3.79
2019-12-18,109,Mid-season,1.15,3.11,3.58,2.4,1.92,1.66,0.0,5.45
2019-12-19,110,Mid-season,1.15,2.02,2.32,37.4,29.92,0.0,0.0,0.0
2019-12-20,111,Late,1.136,2.49,2.83,3.4,2.72,0.11,0.0,0.11
2019-12-21,112,Late,1.122,3.8,4.26,0.5,0.4,3.86,0.0,3.97
2019-12-22,113,Late,1.108,3.41,3.78,1.5,1.2,2.58,0.0,6.55
2019-12-23,114,Late,1.094,1.49,1.63,18.3,14.64,0.0,0.0,0.0
2019-12-24,115,Late,1.08,3.47,3.75,0.3,0.24,3.51,0.0,3.51
2019-12-25,116,Late,1.066,3.61,3.85,0.5,0.4,3.45,0.0,6.96
2019-12-26,117,Late,1.052,3.18,3.35,2.1,1.68,1.67,8.63,0.0
2019-12-27,118,Late,1.038,3.13,3.25,2.3,1.84,1.41,0.0,1.41
2019-12-28,119,Late,1.024,2.37,2.43,4.0,3.2,0.0,0.0,0.64
2019-12-29,120,Late,1.01,3.4,3.43,0.1,0.08,3.35,0.0,3.99
2019-12-30,121,Late,0.996,2.9,2.89,1.4,1.12,1.77,5.76,0.0
2019-12-31,122,Late,0.982,2.78,2.73,2.5,2.0,0.73,0.0,0.73
2020-01-01,123,Late,0.968,2.72,2.63,0.9,0.72,1.91,2.64,0.0
2020-01-02,124,Late,0.954,3.5,3.34,0.0,0.0,3.34,0.0,3.34
2020-01-03,125,Late,0.94,3.48,3.27,0.0,0.0,3.27,6.61,0.0
2020-01-04,126,Late,0.926,3.57,3.31,0.0,0.0,3.31,0.0,3.31
2020-01-05,127,Late,0.912,4.15,3.78,0.3,0.24,3.54,0.0,6.85
2020-01-06,128,Late,0.898,4.0,3.59,0.0,0.0,3.59,10.44,0.0
2020-01-07,129,Late,0.884,2.96,2.62,0.0,0.0,2.62,2.62,0.0
2020-01-08,130,Late,0.87,4.54,3.95,0.0,0.0,3.95,0.0,3.95
2020-01-09,131,Late,0.856,5.47,4.68,0.0,0.0,4.68,8.63,0.0
2020-01-10,132,Late,0.842,4.21,3.54,2.2,1.76,1.78,1.78,0.0
2020-01-11,133,Late,0.828,3.97,3.29,0.4,0.32,2.97,0.0,2.97
2020-01-12,134,Late,0.814,3.71,3.02,3.2,2.56,0.46,0.0,3.43
2020-01-13,135,Late,0.8,3.94,3.15,1.2,0.96,2.19,5.62,0.0
