date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm
2021-09-01,1,Initial,0.6,4.06,2.44,1.1,0.88,1.56
2021-09-02,2,Initial,0.6,4.79,2.87,0.7,0.56,2.31
2021-09-03,3,Initial,0.6,5.17,3.1,1.9,1.52,1.58
2021-09-04,4,Initial,0.6,5.43,3.26,0.1,0.08,3.18
2021-09-05,5,Initial,0.6,5.36,3.22,0.2,0.16,3.06
2021-09-06,6,Initial,0.6,3.77,2.26,0.1,0.08,2.18
2021-09-07,7,Initial,0.6,5.0,3.0,5.9,4.72,0.0
2021-09-08,8,Initial,0.6,4.08,2.45,5.0,4.0,0.0
2021-09-09,9,Initial,0.6,3.8,2.28,6.4,5.12,0.0
2021-09-10,10,Initial,0.6,4.5,2.7,0.9,0.72,1.98
2021-09-11,11,Initial,0.6,6.19,3.71,0.5,0.4,3.31
2021-09-12,12,Initial,0.6,4.95,2.97,1.2,0.96,2.01
2021-09-13,13,Initial,0.6,3.75,2.25,3.7,2.96,0.0
2021-09-14,14,Initial,0.6,5.34,3.2,0.9,0.72,2.48
2021-09-15,15,Initial,0.6,4.38,2.63,8.0,6.4,0.0
2021-09-16,16,Initial,0.6,5.13,3.08,1.0,0.8,2.28
2021-09-17,17,Initial,0.6,3.94,2.36,1.7,1.36,1.0
2021-09-18,18,Initial,0.6,4.91,2.95,1.0,0.8,2.15
2021-09-19,19,Initial,0.6,4.22,2.53,7.1,5.68,0.0
2021-09-20,20,Initial,0.6,5.31,3.19,1.2,0.96,2.23
2021-09-21,21,Initial,0.6,5.16,3.1,1.3,1.04,2.06
2021-09-22,22,Initial,0.6,3.98,2.39,0.7,0.56,1.83
2021-09-23,23,Initial,0.6,4.01,2.41,0.1,0.08,2.33
2021-09-24,24,Initial,0.6,2.79,1.67,12.4,9.92,0.0
2021-09-25,25,Initial,0.6,3.49,2.09,5.8,4.64,0.0
2021-09-26,26,Initial,0.6,4.12,2.47,0.8,0.64,1.83
2021-09-27,27,Initial,0.6,5.94,3.56,0.0,0.0,3.56
2021-09-28,28,Initial,0.6,4.36,2.62,0.9,0.72,1.9
2021-09-29,29,Initial,0.6,5.5,3.3,0.0,0.0,3.3
2021-09-30,30,Initial,0.6,5.68,3.41,0.8,0.64,2.77
2021-10-01,31,Development,0.614,6.18,3.79,0.8,0.64,3.15
2021-10-02,32,Development,0.627,5.74,3.6,1.8,1.44,2.16
2021-10-03,33,Development,0.641,5.83,3.74,0.6,0.48,3.26
2021-10-04,34,Development,0.655,5.47,3.58,0.5,0.4,3.18
2021-10-05,35,Development,0.669,5.31,3.55,0.1,0.08,3.47
2021-10-06,36,Development,0.682,5.06,3.45,0.9,0.72,2.73
2021-10-07,37,Development,0.696,5.74,4.0,0.2,0.16,3.84
2021-10-08,38,Development,0.71,5.1,3.62,0.0,0.0,3.62
2021-10-09,39,Development,0.724,3.81,2.76,3.0,2.4,0.36
2021-10-10,40,Development,0.737,2.47,1.82,10.8,8.64,0.0
2021-10-11,41,Development,0.751,3.01,2.26,2.1,1.68,0.58
2021-10-12,42,Development,0.765,4.14,3.17,2.1,1.68,1.49
2021-10-13,43,Development,0.779,4.34,3.38,1.7,1.36,2.02
2021-10-14,44,Development,0.792,4.25,3.37,2.1,1.68,1.69
2021-10-15,45,Development,0.806,4.04,3.26,0.7,0.56,2.7
2021-10-16,46,Development,0.82,3.64,2.98,0.0,0.0,2.98
2021-10-17,47,Development,0.834,4.54,3.79,0.3,0.24,3.55
2021-10-18,48,Development,0.847,5.22,4.42,0.8,0.64,3.78
2021-10-19,49,Development,0.861,5.88,5.06,0.0,0.0,5.06
2021-10-20,50,Development,0.875,4.88,4.27,0.8,0.64,3.63
2021-10-21,51,Development,0.889,3.89,3.46,2.5,2.0,1.46
2021-10-22,52,Development,0.902,2.98,2.69,13.3,10.64,0.0
2021-10-23,53,Development,0.916,3.0,2.75,1.0,0.8,1.95
2021-10-24,54,Development,0.93,3.15,2.93,5.1,4.08,0.0
2021-10-25,55,Development,0.944,2.55,2.41,1.2,0.96,1.45
2021-10-26,56,Development,0.958,4.05,3.88,2.6,2.08,1.8
2021-10-27,57,Development,0.971,4.15,4.03,1.2,0.96,3.07
2021-10-28,58,Development,0.985,3.39,3.34,2.6,2.08,1.26
2021-10-29,59,Development,0.999,2.85,2.85,7.6,6.08,0.0
2021-10-30,60,Development,1.012,4.28,4.33,3.6,2.88,1.45
2021-10-31,61,Development,1.026,4.3,4.41,0.0,0.0,4.41
2021-11-01,62,Development,1.04,3.63,3.78,0.0,0.0,3.78
2021-11-02,63,Development,1.054,2.81,2.96,1.4,1.12,1.84
2021-11-03,64,Development,1.067,4.34,4.63,0.2,0.16,4.47
2021-11-04,65,Development,1.081,3.72,4.02,0.8,0.64,3.38
2021-11-05,66,Development,1.095,2.83,3.1,5.6,4.48,0.0
2021-11-06,67,Development,1.109,2.45,2.72,6.8,5.44,0.0
2021-11-07,68,Development,1.123,4.42,4.96,0.0,0.0,4.96
2021-11-08,69,Development,1.136,3.66,4.16,1.9,1.52,2.64
2021-11-09,70,Development,1.15,4.55,5.23,0.0,0.0,5.23
2021-11-10,71,Mid-season,1.15,3.5,4.02,2.1,1.68,2.34
2021-11-11,72,Mid-season,1.15,1.91,2.2,4.7,3.76,0.0
2021-11-12,73,Mid-season,1.15,1.81,2.08,28.2,22.56,0.0
2021-11-13,74,Mid-season,1.15,3.11,3.58,0.1,0.08,3.5
2021-11-14,75,Mid-season,1.15,2.58,2.97,0.3,0.24,2.73
2021-11-15,76,Mid-season,1.15,3.19,3.67,0.0,0.0,3.67
2021-11-16,77,Mid-season,1.15,4.55,5.23,0.0,0.0,5.23
