week_start,week_end,n_days_data,growth_stage,Kc_mean,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_days_week,hrs_per_day,capacity_mm,deficit_mm
2018-09-01,2018-09-07,7,Initial,0.3,33.1,9.9,61.4,49.1,0.0,0,0.0,0.0,0.0
2018-09-08,2018-09-14,7,Initial,0.3,30.1,9.0,18.4,14.7,0.4,2,0.5,0.9,0.0
2018-09-15,2018-09-21,7,Initial,0.3,35.0,10.5,14.2,11.4,3.9,2,2.5,4.7,0.0
2018-09-22,2018-09-28,7,Initial,0.3,39.4,11.8,7.2,5.8,6.1,2,3.5,6.5,0.0
2018-09-29,2018-10-05,7,Initial,0.3,38.3,11.5,15.2,12.2,4.3,2,2.5,4.7,0.0
2018-10-06,2018-10-12,7,Initial,0.3,33.3,10.0,34.1,27.3,2.1,2,1.5,2.8,0.0
2018-10-13,2018-10-19,7,Initial,0.3,35.8,10.7,9.1,7.3,7.6,2,4.5,8.4,0.0
2018-10-20,2018-10-26,7,Initial,0.3,27.5,8.2,19.7,15.8,0.9,2,0.5,0.9,0.0
2018-10-27,2018-11-02,7,Initial,0.305,32.7,9.9,5.4,4.3,6.7,2,4.0,7.5,0.0
2018-11-03,2018-11-09,7,Development,0.339,29.4,10.0,7.0,5.6,6.1,2,3.5,6.5,0.0
2018-11-10,2018-11-16,7,Development,0.378,26.9,10.1,7.3,5.8,5.3,2,3.0,5.6,0.0
2018-11-17,2018-11-23,7,Development,0.417,26.6,11.1,2.8,2.2,8.8,2,5.0,9.3,0.0
2018-11-24,2018-11-30,7,Development,0.456,25.0,11.4,6.2,5.0,8.6,2,5.0,9.3,0.0
2018-12-01,2018-12-07,7,Development,0.494,26.8,13.3,6.0,4.8,9.9,2,5.5,10.3,0.0
2018-12-08,2018-12-14,7,Development,0.533,25.4,13.5,3.6,2.9,10.7,2,6.0,11.2,0.0
2018-12-15,2018-12-21,7,Development,0.572,24.5,14.1,19.5,15.6,10.8,2,6.0,11.2,0.0
2018-12-22,2018-12-28,7,Development,0.611,24.1,14.7,10.6,8.5,8.2,2,4.5,8.4,0.0
2018-12-29,2019-01-04,7,Development,0.65,25.9,16.8,0.8,0.6,16.2,3,6.0,16.8,0.0
2019-01-05,2019-01-11,7,Development,0.689,24.6,17.0,1.6,1.3,15.7,3,6.0,16.8,0.0
2019-01-12,2019-01-18,7,Development,0.728,23.7,17.2,6.0,4.8,12.4,2,7.0,13.0,0.0
2019-01-19,2019-01-25,7,Development,0.767,29.0,22.2,8.7,7.0,18.1,3,6.5,18.2,0.0
2019-01-26,2019-02-01,7,Mid-season,0.798,25.3,20.2,11.4,9.1,15.9,3,6.0,16.8,0.0
2019-02-02,2019-02-08,7,Mid-season,0.8,25.6,20.5,10.4,8.3,16.8,3,6.5,18.2,0.0
2019-02-09,2019-02-15,7,Mid-season,0.8,25.4,20.4,20.8,16.6,9.8,2,5.5,10.3,0.0
2019-02-16,2019-02-22,7,Mid-season,0.8,32.6,26.1,4.7,3.8,22.4,3,8.0,22.4,0.0
2019-02-23,2019-03-01,7,Mid-season,0.8,30.4,24.4,22.6,18.1,16.5,3,6.0,16.8,0.0
2019-03-02,2019-03-08,7,Mid-season,0.8,34.2,27.3,4.2,3.4,24.0,4,6.5,24.2,0.0
2019-03-09,2019-03-15,7,Mid-season,0.8,34.2,27.4,3.3,2.6,24.7,4,7.0,26.1,0.0
2019-03-16,2019-03-22,7,Mid-season,0.8,28.1,22.5,13.2,10.6,14.5,2,8.0,14.9,0.0
2019-03-23,2019-03-29,7,Mid-season,0.8,37.0,29.6,12.7,10.2,22.1,3,8.0,22.4,0.0
2019-03-30,2019-04-05,7,Mid-season,0.8,33.5,26.8,10.8,8.6,18.1,3,6.5,18.2,0.0
2019-04-06,2019-04-12,7,Mid-season,0.8,35.3,28.3,20.0,16.0,22.7,4,6.5,24.2,0.0
2019-04-13,2019-04-19,7,Mid-season,0.8,42.3,33.9,6.4,5.1,28.7,4,8.0,29.8,0.0
2019-04-20,2019-04-26,7,Mid-season,0.8,38.9,31.1,15.2,12.2,26.3,4,7.5,28.0,0.0
2019-04-27,2019-05-03,7,Mid-season,0.8,35.3,28.2,16.5,13.2,17.5,3,6.5,18.2,0.0
2019-05-04,2019-05-10,7,Mid-season,0.8,38.7,30.9,7.2,5.8,25.2,4,7.0,26.1,0.0
2019-05-11,2019-05-17,7,Mid-season,0.8,37.2,29.8,59.0,47.2,12.3,2,7.0,13.0,0.0
2019-05-18,2019-05-24,7,Late,0.775,44.2,34.2,11.4,9.1,26.5,4,7.5,28.0,0.0
2019-05-25,2019-05-31,7,Late,0.717,47.6,34.1,2.4,1.9,32.2,5,7.0,32.6,0.0
