week_start,week_end,n_days_data,growth_stage,Kc_mean,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_days_week,hrs_per_day,capacity_mm,deficit_mm
2024-09-01,2024-09-07,7,Initial,0.6,30.2,18.1,22.1,17.7,11.9,2,6.5,12.1,0.0
2024-09-08,2024-09-14,7,Initial,0.6,25.3,15.2,48.9,39.1,2.5,2,1.5,2.8,0.0
2024-09-15,2024-09-21,7,Initial,0.6,21.3,12.8,50.9,40.7,2.0,2,1.5,2.8,0.0
2024-09-22,2024-09-28,7,Initial,0.6,26.2,15.7,16.7,13.4,8.0,2,4.5,8.4,0.0
2024-09-29,2024-10-05,7,Development,0.629,28.6,18.0,6.1,4.9,13.1,2,7.5,14.0,0.0
2024-10-06,2024-10-12,7,Development,0.724,19.3,14.1,82.7,66.2,3.7,2,2.0,3.7,0.0
2024-10-13,2024-10-19,7,Development,0.82,15.8,12.9,51.9,41.5,4.7,2,3.0,5.6,0.0
2024-10-20,2024-10-26,7,Development,0.916,23.0,21.1,4.6,3.7,17.4,3,6.5,18.2,0.0
2024-10-27,2024-11-02,7,Development,1.012,18.9,19.1,5.1,4.1,15.1,3,5.5,15.4,0.0
2024-11-03,2024-11-09,7,Development,1.109,18.9,20.9,13.3,10.6,11.6,2,6.5,12.1,0.0
2024-11-10,2024-11-16,7,Mid-season,1.15,16.9,19.5,10.4,8.3,14.7,2,8.0,14.9,0.0
2024-11-17,2024-11-23,7,Mid-season,1.15,13.9,15.9,3.1,2.5,13.5,2,7.5,14.0,0.0
2024-11-24,2024-11-30,7,Mid-season,1.15,16.1,18.5,3.2,2.6,15.9,3,6.0,16.8,0.0
2024-12-01,2024-12-07,7,Mid-season,1.15,13.4,15.4,1.6,1.3,14.1,2,8.0,14.9,0.0
2024-12-08,2024-12-14,7,Mid-season,1.15,12.9,14.8,5.2,4.2,10.9,2,6.0,11.2,0.0
2024-12-15,2024-12-21,7,Mid-season,1.144,14.9,17.0,16.7,13.4,7.9,2,4.5,8.4,0.0
2024-12-22,2024-12-28,7,Late,1.066,10.9,11.6,13.7,11.0,8.7,2,5.0,9.3,0.0
2024-12-29,2024-12-31,3,Late,0.996,4.8,4.8,1.2,1.0,3.8,2,2.5,4.7,0.0
