date,is_irr_day,target_hrs,pump_hrs,shortfall_hrs,met,energy_pump_kWh,energy_solar_kWh,primary_failure,soc_end_pct
2018-09-01,False,0.0,0.0,0.0,True,0.0,21.359,,100.0
2018-09-02,False,0.0,0.0,0.0,True,0.0,20.766,,100.0
2018-09-03,False,0.0,0.0,0.0,True,0.0,18.664,,100.0
2018-09-04,False,0.0,0.0,0.0,True,0.0,26.579,,100.0
2018-09-05,False,0.0,0.0,0.0,True,0.0,26.811,,100.0
2018-09-06,False,0.0,0.0,0.0,True,0.0,17.116,,100.0
2018-09-07,False,0.0,0.0,0.0,True,0.0,20.628,,100.0
2018-09-08,False,0.0,0.0,0.0,True,0.0,13.799,,100.0
2018-09-09,False,0.0,0.0,0.0,True,0.0,18.527,,100.0
2018-09-10,True,0.5,1.0,0.0,True,1.263,21.547,night,100.0
2018-09-11,False,0.0,0.0,0.0,True,0.0,25.688,,100.0
2018-09-12,False,0.0,0.0,0.0,True,0.0,24.994,,100.0
2018-09-13,True,0.5,1.0,0.0,True,1.263,17.852,night,100.0
2018-09-14,False,0.0,0.0,0.0,True,0.0,19.862,,100.0
2018-09-15,False,0.0,0.0,0.0,True,0.0,24.663,,100.0
2018-09-16,False,0.0,0.0,0.0,True,0.0,24.077,,100.0
2018-09-17,True,2.5,3.0,0.0,True,3.789,20.983,night,100.0
2018-09-18,False,0.0,0.0,0.0,True,0.0,22.195,,100.0
2018-09-19,False,0.0,0.0,0.0,True,0.0,19.658,,100.0
2018-09-20,True,2.5,3.0,0.0,True,3.789,18.383,night,100.0
2018-09-21,False,0.0,0.0,0.0,True,0.0,21.922,,100.0
2018-09-22,False,0.0,0.0,0.0,True,0.0,21.514,,100.0
2018-09-23,False,0.0,0.0,0.0,True,0.0,23.108,,100.0
2018-09-24,True,3.5,4.0,0.0,True,5.052,22.849,night,100.0
2018-09-25,False,0.0,0.0,0.0,True,0.0,22.706,,100.0
2018-09-26,False,0.0,0.0,0.0,True,0.0,22.577,,100.0
2018-09-27,True,3.5,4.0,0.0,True,5.052,22.497,night,100.0
2018-09-28,False,0.0,0.0,0.0,True,0.0,21.756,,100.0
2018-09-29,False,0.0,0.0,0.0,True,0.0,19.444,,100.0
2018-09-30,False,0.0,0.0,0.0,True,0.0,20.818,,100.0
2018-10-01,True,2.5,3.0,0.0,True,3.789,20.63,night,100.0
2018-10-02,False,0.0,0.0,0.0,True,0.0,18.812,,100.0
2018-10-03,False,0.0,0.0,0.0,True,0.0,21.341,,100.0
2018-10-04,True,2.5,3.0,0.0,True,3.789,16.618,night,100.0
2018-10-05,False,0.0,0.0,0.0,True,0.0,21.145,,100.0
2018-10-06,False,0.0,0.0,0.0,True,0.0,20.191,,100.0
2018-10-07,False,0.0,0.0,0.0,True,0.0,18.453,,100.0
2018-10-08,True,1.5,2.0,0.0,True,2.526,18.348,night,100.0
2018-10-09,False,0.0,0.0,0.0,True,0.0,18.451,,100.0
2018-10-10,False,0.0,0.0,0.0,True,0.0,17.845,,100.0
2018-10-11,True,1.5,2.0,0.0,True,2.526,15.354,night,100.0
2018-10-12,False,0.0,0.0,0.0,True,0.0,12.592,,100.0
2018-10-13,False,0.0,0.0,0.0,True,0.0,11.19,,100.0
2018-10-14,False,0.0,0.0,0.0,True,0.0,18.522,,100.0
2018-10-15,True,4.5,5.0,0.0,True,6.315,18.355,night,100.0
2018-10-16,False,0.0,0.0,0.0,True,0.0,17.577,,100.0
2018-10-17,False,0.0,0.0,0.0,True,0.0,18.138,,100.0
2018-10-18,True,4.5,5.0,0.0,True,6.315,18.027,night,100.0
2018-10-19,False,0.0,0.0,0.0,True,0.0,17.841,,100.0
2018-10-20,False,0.0,0.0,0.0,True,0.0,12.915,,100.0
2018-10-21,False,0.0,0.0,0.0,True,0.0,16.344,,100.0
2018-10-22,True,0.5,1.0,0.0,True,1.263,14.853,night,100.0
2018-10-23,False,0.0,0.0,0.0,True,0.0,13.52,,100.0
2018-10-24,False,0.0,0.0,0.0,True,0.0,15.854,,100.0
2018-10-25,True,0.5,1.0,0.0,True,1.263,16.163,night,100.0
2018-10-26,False,0.0,0.0,0.0,True,0.0,15.793,,100.0
