week_start,week_end,growth_stage,net_irr_needed,irr_days,target_hrs,pump_hrs,shortfall_hrs,days_met,reliability_pct,mm_delivered,mm_gap,ETc_mm,precip_mm
2018-09-01,2018-09-07,Initial,0.0,0,0,0,0,0,100.0,0.0,0.0,9.9,61.4
2018-09-08,2018-09-14,Initial,0.4,1,0.0,1.0,0.0,1,100.0,0.9,0.0,9.0,18.4
2018-09-15,2018-09-21,Initial,3.9,1,3.5,4.0,0.0,1,100.0,3.7,0.2,10.5,14.2
2018-09-22,2018-09-28,Initial,6.1,2,5.5,7.0,0.0,2,100.0,6.5,0.0,11.8,7.2
2018-09-29,2018-10-05,Initial,4.3,1,1.1,2.0,0.0,1,100.0,1.9,2.4,11.5,15.2
2018-10-06,2018-10-12,Initial,2.1,1,4.2,5.0,0.0,1,100.0,4.7,0.0,10.0,34.1
2018-10-13,2018-10-19,Initial,7.6,2,6.3,7.0,0.0,2,100.0,6.5,1.1,10.7,9.1
2018-10-20,2018-10-26,Initial,0.9,0,0,0,0,0,100.0,0.0,0.9,8.2,19.7
2018-10-27,2018-11-02,Initial,6.7,2,6.0,7.0,0.0,2,100.0,6.5,0.2,10.0,5.4
2018-11-03,2018-11-09,Development,6.1,2,5.0,6.0,0.0,2,100.0,5.6,0.5,10.0,7.0
2018-11-10,2018-11-16,Development,5.3,2,7.2,8.0,0.0,2,100.0,7.5,0.0,10.1,7.3
2018-11-17,2018-11-23,Development,8.8,2,9.0,10.0,0.0,2,100.0,9.3,0.0,11.1,2.8
2018-11-24,2018-11-30,Development,8.6,2,7.7,8.0,0.0,2,100.0,7.5,1.1,11.4,6.2
2018-12-01,2018-12-07,Development,9.9,2,8.4,8.0,0.7,1,50.0,7.5,2.4,13.3,6.0
2018-12-08,2018-12-14,Development,10.7,2,12.3,10.0,2.32,1,50.0,9.3,1.4,13.5,3.6
2018-12-15,2018-12-21,Development,10.8,2,13.3,9.0,4.34,0,0.0,8.4,2.4,14.0,19.5
2018-12-22,2018-12-28,Development,8.2,2,7.8,7.0,1.7,1,50.0,6.5,1.7,14.7,10.6
2018-12-29,2019-01-04,Development,16.2,3,17.4,18.0,1.14,2,66.7,16.8,0.0,16.8,0.8
2019-01-05,2019-01-11,Development,15.7,3,16.9,17.0,0.83,2,66.7,15.8,0.0,17.0,1.6
2019-01-12,2019-01-18,Development,12.4,2,10.3,11.0,0.0,2,100.0,10.3,2.1,17.2,6.0
2019-01-19,2019-01-25,Development,18.1,3,16.7,13.0,4.0,1,33.3,12.1,6.0,22.2,8.7
2019-01-26,2019-02-01,Mid-season,15.9,3,17.1,18.0,0.34,3,100.0,16.8,0.0,20.2,11.4
2019-02-02,2019-02-08,Mid-season,16.8,3,18.1,19.0,0.0,3,100.0,17.7,0.0,20.5,10.4
2019-02-09,2019-02-15,Mid-season,9.8,1,6.3,7.0,0.0,1,100.0,6.5,3.3,20.4,20.8
2019-02-16,2019-02-22,Mid-season,22.4,3,21.3,23.0,0.0,3,100.0,21.4,1.0,26.1,4.7
2019-02-23,2019-03-01,Mid-season,16.5,2,14.1,14.0,1.0,1,50.0,13.0,3.5,24.4,22.6
2019-03-02,2019-03-08,Mid-season,24.0,4,23.7,24.0,0.0,4,100.0,22.4,1.6,27.3,4.2
2019-03-09,2019-03-15,Mid-season,24.7,4,23.2,20.0,3.37,3,75.0,18.6,6.1,27.4,3.3
2019-03-16,2019-03-22,Mid-season,14.5,2,9.3,10.0,0.0,2,100.0,9.3,5.2,22.5,13.2
2019-03-23,2019-03-29,Mid-season,22.1,3,17.2,18.0,0.0,3,100.0,16.8,5.3,29.6,12.7
2019-03-30,2019-04-05,Mid-season,18.1,3,19.5,21.0,0.0,3,100.0,19.6,0.0,26.8,10.8
2019-04-06,2019-04-12,Mid-season,22.7,4,20.2,22.0,0.0,4,100.0,20.5,2.2,28.3,20.0
2019-04-13,2019-04-19,Mid-season,28.7,4,25.5,27.0,0.0,4,100.0,25.2,3.5,33.9,6.4
2019-04-20,2019-04-26,Mid-season,26.3,4,25.5,27.0,0.0,4,100.0,25.2,1.1,31.1,15.2
2019-04-27,2019-05-03,Mid-season,17.5,3,17.8,19.0,0.0,3,100.0,17.7,0.0,28.2,16.5
2019-05-04,2019-05-10,Mid-season,25.2,4,25.5,27.0,0.0,4,100.0,25.2,0.0,30.9,7.2
2019-05-11,2019-05-17,Mid-season,12.3,1,5.3,6.0,0.0,1,100.0,5.6,6.7,29.8,59.0
2019-05-18,2019-05-24,Late,26.5,4,25.6,27.0,0.0,4,100.0,25.2,1.3,34.2,11.4
2019-05-25,2019-05-31,Late,32.2,5,26.5,29.0,0.0,5,100.0,27.0,5.2,34.1,2.4
