week_start,week_end,growth_stage,net_irr_needed,irr_days,target_hrs,pump_hrs,shortfall_hrs,days_met,reliability_pct,mm_delivered,mm_gap,ETc_mm,precip_mm
2018-09-01,2018-09-07,Initial,1.8,0,0,0,0,0,100.0,0.0,1.8,19.9,61.4
2018-09-08,2018-09-14,Initial,5.0,2,2.7,3.0,0.0,2,100.0,2.8,2.2,18.1,18.4
2018-09-15,2018-09-21,Initial,11.2,2,8.3,9.0,0.0,2,100.0,8.4,2.8,21.0,14.2
2018-09-22,2018-09-28,Initial,17.9,3,21.1,23.0,0.0,3,100.0,21.4,0.0,23.6,7.2
2018-09-29,2018-10-05,Development,13.7,2,8.7,9.0,0.0,2,100.0,8.4,5.3,24.1,15.2
2018-10-06,2018-10-12,Development,10.8,1,8.0,8.0,0.0,1,100.0,7.5,3.3,23.9,34.1
2018-10-13,2018-10-19,Development,24.8,4,25.1,26.0,0.0,4,100.0,24.2,0.6,29.5,9.1
2018-10-20,2018-10-26,Development,10.7,2,7.8,9.0,0.0,2,100.0,8.4,2.3,25.2,19.7
2018-10-27,2018-11-02,Development,28.8,4,25.7,26.0,0.0,4,100.0,24.2,4.6,33.1,5.4
2018-11-03,2018-11-09,Development,27.0,4,25.8,27.0,0.0,4,100.0,25.2,1.8,32.6,7.0
2018-11-10,2018-11-16,Mid-season,25.1,4,20.3,22.0,0.0,4,100.0,20.5,4.6,31.0,7.3
2018-11-17,2018-11-23,Mid-season,28.4,4,22.4,25.0,0.0,4,100.0,23.3,5.1,30.6,2.8
2018-11-24,2018-11-30,Mid-season,23.7,4,21.1,22.0,0.0,4,100.0,20.5,3.2,28.7,6.2
2018-12-01,2018-12-07,Mid-season,26.0,4,24.2,25.0,0.0,4,100.0,23.3,2.7,30.8,6.0
2018-12-08,2018-12-14,Mid-season,26.3,4,24.0,12.0,12.02,1,25.0,11.2,15.1,29.2,3.6
2018-12-15,2018-12-21,Mid-season,22.7,3,19.7,3.0,16.71,0,0.0,2.8,19.9,28.0,19.5
2018-12-22,2018-12-28,Late,17.2,3,14.2,4.0,10.78,1,33.3,3.7,13.5,25.7,10.6
2018-12-29,2019-01-04,Late,24.4,4,23.0,4.0,18.96,0,0.0,3.7,20.7,25.1,0.8
2019-01-05,2019-01-11,Late,20.1,3,20.5,3.0,17.53,0,0.0,2.8,17.3,21.4,1.6
2019-01-12,2019-01-13,Late,2.9,0,0,0,0,0,100.0,0.0,2.9,5.7,3.5
