week_start,week_end,growth_stage,net_irr_needed,irr_days,target_hrs,pump_hrs,shortfall_hrs,days_met,reliability_pct,mm_delivered,mm_gap,ETc_mm,precip_mm
2021-09-01,2021-09-07,Initial,5.3,2,6.0,6.0,0.0,2,100.0,5.6,0.0,10.1,10.0
2021-09-08,2021-09-14,Initial,3.5,2,4.0,4.0,0.0,2,100.0,3.7,0.0,9.8,18.6
2021-09-15,2021-09-21,Initial,2.5,2,3.0,4.0,0.0,2,100.0,3.7,0.0,9.9,21.3
2021-09-22,2021-09-28,Initial,4.7,2,6.0,6.0,0.0,2,100.0,5.6,0.0,8.6,20.7
2021-09-29,2021-10-05,Initial,8.2,2,9.0,10.0,0.0,2,100.0,9.3,0.0,11.9,4.6
2021-10-06,2021-10-12,Initial,3.9,2,5.0,6.0,0.0,2,100.0,5.6,0.0,8.8,19.1
2021-10-13,2021-10-19,Initial,5.6,2,6.0,6.0,0.0,2,100.0,5.6,0.0,9.6,5.6
2021-10-20,2021-10-26,Initial,0.9,2,1.0,2.0,0.0,2,100.0,1.9,0.0,7.3,26.5
2021-10-27,2021-11-02,Initial,2.7,2,3.0,4.0,0.0,2,100.0,3.7,0.0,7.7,16.4
2021-11-03,2021-11-09,Development,5.0,2,6.0,6.0,0.0,2,100.0,5.6,0.0,8.8,15.3
2021-11-10,2021-11-16,Development,4.9,2,6.0,5.0,1.0,1,50.0,4.7,0.2,7.8,35.4
2021-11-17,2021-11-23,Development,2.9,2,4.0,4.0,0.0,2,100.0,3.7,0.0,9.2,24.0
2021-11-24,2021-11-30,Development,9.0,2,10.0,10.0,0.0,2,100.0,9.3,0.0,10.4,1.7
2021-12-01,2021-12-07,Development,8.3,2,9.0,10.0,0.0,2,100.0,9.3,0.0,10.7,6.7
2021-12-08,2021-12-14,Development,9.1,2,10.0,10.0,0.0,2,100.0,9.3,0.0,12.8,4.7
2021-12-15,2021-12-21,Development,5.3,2,6.0,6.0,0.0,2,100.0,5.6,0.0,14.4,16.7
2021-12-22,2021-12-28,Development,12.8,2,14.0,14.0,0.0,2,100.0,13.0,0.0,14.9,9.1
2021-12-29,2021-12-31,Development,4.6,1,2.5,3.0,0.0,1,100.0,2.8,1.8,6.1,1.8
