date,day_in_season,growth_stage,Kc,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm
2021-09-01,1,Initial,0.3,4.06,1.22,1.1,0.88,0.34
2021-09-02,2,Initial,0.3,4.79,1.44,0.7,0.56,0.88
2021-09-03,3,Initial,0.3,5.17,1.55,1.9,1.52,0.03
2021-09-04,4,Initial,0.3,5.43,1.63,0.1,0.08,1.55
2021-09-05,5,Initial,0.3,5.36,1.61,0.2,0.16,1.45
2021-09-06,6,Initial,0.3,3.77,1.13,0.1,0.08,1.05
2021-09-07,7,Initial,0.3,5.0,1.5,5.9,4.72,0.0
2021-09-08,8,Initial,0.3,4.08,1.22,5.0,4.0,0.0
2021-09-09,9,Initial,0.3,3.8,1.14,6.4,5.12,0.0
2021-09-10,10,Initial,0.3,4.5,1.35,0.9,0.72,0.63
2021-09-11,11,Initial,0.3,6.19,1.86,0.5,0.4,1.46
2021-09-12,12,Initial,0.3,4.95,1.49,1.2,0.96,0.53
2021-09-13,13,Initial,0.3,3.75,1.12,3.7,2.96,0.0
2021-09-14,14,Initial,0.3,5.34,1.6,0.9,0.72,0.88
2021-09-15,15,Initial,0.3,4.38,1.31,8.0,6.4,0.0
2021-09-16,16,Initial,0.3,5.13,1.54,1.0,0.8,0.74
2021-09-17,17,Initial,0.3,3.94,1.18,1.7,1.36,0.0
2021-09-18,18,Initial,0.3,4.91,1.47,1.0,0.8,0.67
2021-09-19,19,Initial,0.3,4.22,1.27,7.1,5.68,0.0
2021-09-20,20,Initial,0.3,5.31,1.59,1.2,0.96,0.63
2021-09-21,21,Initial,0.3,5.16,1.55,1.3,1.04,0.51
2021-09-22,22,Initial,0.3,3.98,1.19,0.7,0.56,0.63
2021-09-23,23,Initial,0.3,4.01,1.2,0.1,0.08,1.12
2021-09-24,24,Initial,0.3,2.79,0.84,12.4,9.92,0.0
2021-09-25,25,Initial,0.3,3.49,1.05,5.8,4.64,0.0
2021-09-26,26,Initial,0.3,4.12,1.24,0.8,0.64,0.6
2021-09-27,27,Initial,0.3,5.94,1.78,0.0,0.0,1.78
2021-09-28,28,Initial,0.3,4.36,1.31,0.9,0.72,0.59
2021-09-29,29,Initial,0.3,5.5,1.65,0.0,0.0,1.65
2021-09-30,30,Initial,0.3,5.68,1.7,0.8,0.64,1.06
2021-10-01,31,Initial,0.3,6.18,1.85,0.8,0.64,1.21
2021-10-02,32,Initial,0.3,5.74,1.72,1.8,1.44,0.28
2021-10-03,33,Initial,0.3,5.83,1.75,0.6,0.48,1.27
2021-10-04,34,Initial,0.3,5.47,1.64,0.5,0.4,1.24
2021-10-05,35,Initial,0.3,5.31,1.59,0.1,0.08,1.51
2021-10-06,36,Initial,0.3,5.06,1.52,0.9,0.72,0.8
2021-10-07,37,Initial,0.3,5.74,1.72,0.2,0.16,1.56
2021-10-08,38,Initial,0.3,5.1,1.53,0.0,0.0,1.53
2021-10-09,39,Initial,0.3,3.81,1.14,3.0,2.4,0.0
2021-10-10,40,Initial,0.3,2.47,0.74,10.8,8.64,0.0
2021-10-11,41,Initial,0.3,3.01,0.9,2.1,1.68,0.0
2021-10-12,42,Initial,0.3,4.14,1.24,2.1,1.68,0.0
2021-10-13,43,Initial,0.3,4.34,1.3,1.7,1.36,0.0
2021-10-14,44,Initial,0.3,4.25,1.27,2.1,1.68,0.0
2021-10-15,45,Initial,0.3,4.04,1.21,0.7,0.56,0.65
2021-10-16,46,Initial,0.3,3.64,1.09,0.0,0.0,1.09
2021-10-17,47,Initial,0.3,4.54,1.36,0.3,0.24,1.12
2021-10-18,48,Initial,0.3,5.22,1.57,0.8,0.64,0.93
2021-10-19,49,Initial,0.3,5.88,1.76,0.0,0.0,1.76
2021-10-20,50,Initial,0.3,4.88,1.46,0.8,0.64,0.82
2021-10-21,51,Initial,0.3,3.89,1.17,2.5,2.0,0.0
2021-10-22,52,Initial,0.3,2.98,0.89,13.3,10.64,0.0
2021-10-23,53,Initial,0.3,3.0,0.9,1.0,0.8,0.1
2021-10-24,54,Initial,0.3,3.15,0.94,5.1,4.08,0.0
2021-10-25,55,Initial,0.3,2.55,0.76,1.2,0.96,0.0
2021-10-26,56,Initial,0.3,4.05,1.21,2.6,2.08,0.0
2021-10-27,57,Initial,0.3,4.15,1.25,1.2,0.96,0.29
2021-10-28,58,Initial,0.3,3.39,1.02,2.6,2.08,0.0
2021-10-29,59,Initial,0.3,2.85,0.85,7.6,6.08,0.0
2021-10-30,60,Initial,0.3,4.28,1.28,3.6,2.88,0.0
2021-10-31,61,Development,0.306,4.3,1.31,0.0,0.0,1.31
2021-11-01,62,Development,0.311,3.63,1.13,0.0,0.0,1.13
2021-11-02,63,Development,0.317,2.81,0.89,1.4,1.12,0.0
2021-11-03,64,Development,0.322,4.34,1.4,0.2,0.16,1.24
2021-11-04,65,Development,0.328,3.72,1.22,0.8,0.64,0.58
2021-11-05,66,Development,0.333,2.83,0.94,5.6,4.48,0.0
2021-11-06,67,Development,0.339,2.45,0.83,6.8,5.44,0.0
2021-11-07,68,Development,0.344,4.42,1.52,0.0,0.0,1.52
2021-11-08,69,Development,0.35,3.66,1.28,1.9,1.52,0.0
2021-11-09,70,Development,0.356,4.55,1.62,0.0,0.0,1.62
2021-11-10,71,Development,0.361,3.5,1.26,2.1,1.68,0.0
2021-11-11,72,Development,0.367,1.91,0.7,4.7,3.76,0.0
2021-11-12,73,Development,0.372,1.81,0.67,28.2,22.56,0.0
2021-11-13,74,Development,0.378,3.11,1.17,0.1,0.08,1.09
2021-11-14,75,Development,0.383,2.58,0.99,0.3,0.24,0.75
2021-11-15,76,Development,0.389,3.19,1.24,0.0,0.0,1.24
2021-11-16,77,Development,0.394,4.55,1.79,0.0,0.0,1.79
2021-11-17,78,Development,0.4,3.66,1.46,0.6,0.48,0.98
2021-11-18,79,Development,0.406,2.39,0.97,13.9,11.12,0.0
2021-11-19,80,Development,0.411,2.99,1.23,0.8,0.64,0.59
2021-11-20,81,Development,0.417,2.55,1.06,3.1,2.48,0.0
2021-11-21,82,Development,0.422,3.59,1.52,2.3,1.84,0.0
2021-11-22,83,Development,0.428,2.95,1.26,2.8,2.24,0.0
2021-11-23,84,Development,0.433,3.96,1.72,0.5,0.4,1.32
2021-11-24,85,Development,0.439,4.16,1.83,0.0,0.0,1.83
2021-11-25,86,Development,0.444,3.81,1.69,0.2,0.16,1.53
2021-11-26,87,Development,0.45,2.75,1.24,0.7,0.56,0.68
2021-11-27,88,Development,0.456,3.16,1.44,0.6,0.48,0.96
2021-11-28,89,Development,0.461,2.83,1.3,0.2,0.16,1.14
2021-11-29,90,Development,0.467,2.8,1.31,0.0,0.0,1.31
2021-11-30,91,Development,0.472,3.39,1.6,0.0,0.0,1.6
2021-12-01,92,Development,0.478,3.19,1.52,0.0,0.0,1.52
2021-12-02,93,Development,0.483,3.08,1.49,0.0,0.0,1.49
2021-12-03,94,Development,0.489,3.58,1.75,0.0,0.0,1.75
2021-12-04,95,Development,0.494,3.54,1.75,0.4,0.32,1.43
2021-12-05,96,Development,0.5,3.3,1.65,0.4,0.32,1.33
2021-12-06,97,Development,0.506,2.56,1.29,5.3,4.24,0.0
2021-12-07,98,Development,0.511,2.53,1.29,0.6,0.48,0.81
2021-12-08,99,Development,0.517,2.77,1.43,0.3,0.24,1.19
2021-12-09,100,Development,0.522,2.86,1.49,0.1,0.08,1.41
