week_start,week_end,n_days_data,growth_stage,Kc_mean,ET0_mm,ETc_mm,precip_mm,eff_precip_mm,net_irr_mm,irr_days_week,hrs_per_day,capacity_mm,deficit_mm
2021-09-01,2021-09-07,7,Initial,0.3,33.6,10.1,10.0,8.0,5.3,2,3.0,5.6,0.0
2021-09-08,2021-09-14,7,Initial,0.3,32.6,9.8,18.6,14.9,3.5,2,2.0,3.7,0.0
2021-09-15,2021-09-21,7,Initial,0.3,33.0,9.9,21.3,17.0,2.5,2,1.5,2.8,0.0
2021-09-22,2021-09-28,7,Initial,0.3,28.7,8.6,20.7,16.6,4.7,2,3.0,5.6,0.0
2021-09-29,2021-10-05,7,Initial,0.3,39.7,11.9,4.6,3.7,8.2,2,4.5,8.4,0.0
2021-10-06,2021-10-12,7,Initial,0.3,29.3,8.8,19.1,15.3,3.9,2,2.5,4.7,0.0
2021-10-13,2021-10-19,7,Initial,0.3,31.9,9.6,5.6,4.5,5.6,2,3.0,5.6,0.0
2021-10-20,2021-10-26,7,Initial,0.3,24.5,7.3,26.5,21.2,0.9,2,0.5,0.9,0.0
2021-10-27,2021-11-02,7,Initial,0.305,25.4,7.7,16.4,13.1,2.7,2,1.5,2.8,0.0
2021-11-03,2021-11-09,7,Development,0.339,26.0,8.8,15.3,12.2,5.0,2,3.0,5.6,0.0
2021-11-10,2021-11-16,7,Development,0.378,20.7,7.8,35.4,28.3,4.9,2,3.0,5.6,0.0
2021-11-17,2021-11-23,7,Development,0.417,22.1,9.2,24.0,19.2,2.9,2,2.0,3.7,0.0
2021-11-24,2021-11-30,7,Development,0.456,22.9,10.4,1.7,1.4,9.0,2,5.0,9.3,0.0
2021-12-01,2021-12-07,7,Development,0.494,21.8,10.7,6.7,5.4,8.3,2,4.5,8.4,0.0
2021-12-08,2021-12-14,7,Development,0.533,24.0,12.8,4.7,3.8,9.1,2,5.0,9.3,0.0
2021-12-15,2021-12-21,7,Development,0.572,25.2,14.4,16.7,13.4,5.3,2,3.0,5.6,0.0
2021-12-22,2021-12-28,7,Development,0.611,24.4,14.9,9.1,7.3,12.8,2,7.0,13.0,0.0
2021-12-29,2021-12-31,3,Development,0.639,9.5,6.1,1.8,1.4,4.6,2,2.5,4.7,0.0
