crop,year,control_mode,battery_nameplate_kwh,battery_eff_kwh,irrigation_days,unfulfilled_days,fulfilled_days,fulfillment_pct
cassava,2018,continuous-run,0.0,0.0,94,59,35,37.2
cassava,2018,continuous-run,0.5,0.425,94,48,46,48.9
cassava,2018,continuous-run,1.0,0.85,94,40,54,57.4
cassava,2018,continuous-run,1.5,1.275,94,32,62,66.0
cassava,2018,continuous-run,2.0,1.7,94,21,73,77.7
cassava,2018,continuous-run,3.0,2.55,94,4,90,95.7
cassava,2018,continuous-run,4.0,3.4,94,1,93,98.9
cassava,2018,continuous-run,5.0,4.25,94,1,93,98.9
cassava,2018,continuous-run,7.0,5.95,94,1,93,98.9
cassava,2018,continuous-run,10.0,8.5,94,1,93,98.9
cassava,2019,continuous-run,0.0,0.0,89,60,29,32.6
cassava,2019,continuous-run,0.5,0.425,89,52,37,41.6
cassava,2019,continuous-run,1.0,0.85,89,38,51,57.3
cassava,2019,continuous-run,1.5,1.275,89,29,60,67.4
cassava,2019,continuous-run,2.0,1.7,89,21,68,76.4
cassava,2019,continuous-run,3.0,2.55,89,4,85,95.5
cassava,2019,continuous-run,4.0,3.4,89,1,88,98.9
cassava,2019,continuous-run,5.0,4.25,89,1,88,98.9
cassava,2019,continuous-run,7.0,5.95,89,0,89,100.0
cassava,2019,continuous-run,10.0,8.5,89,0,89,100.0
cassava,2020,continuous-run,0.0,0.0,101,64,37,36.6
cassava,2020,continuous-run,0.5,0.425,101,53,48,47.5
cassava,2020,continuous-run,1.0,0.85,101,38,63,62.4
cassava,2020,continuous-run,1.5,1.275,101,30,71,70.3
cassava,2020,continuous-run,2.0,1.7,101,22,79,78.2
cassava,2020,continuous-run,3.0,2.55,101,2,99,98.0
cassava,2020,continuous-run,4.0,3.4,101,2,99,98.0
cassava,2020,continuous-run,5.0,4.25,101,1,100,99.0
cassava,2020,continuous-run,7.0,5.95,101,1,100,99.0
cassava,2020,continuous-run,10.0,8.5,101,1,100,99.0
cassava,2021,continuous-run,0.0,0.0,81,52,29,35.8
cassava,2021,continuous-run,0.5,0.425,81,42,39,48.1
cassava,2021,continuous-run,1.0,0.85,81,32,49,60.5
cassava,2021,continuous-run,1.5,1.275,81,23,58,71.6
cassava,2021,continuous-run,2.0,1.7,81,15,66,81.5
cassava,2021,continuous-run,3.0,2.55,81,1,80,98.8
cassava,2021,continuous-run,4.0,3.4,81,1,80,98.8
cassava,2021,continuous-run,5.0,4.25,81,1,80,98.8
cassava,2021,continuous-run,7.0,5.95,81,1,80,98.8
cassava,2021,continuous-run,10.0,8.5,81,1,80,98.8
cassava,2022,continuous-run,0.0,0.0,88,56,32,36.4
cassava,2022,continuous-run,0.5,0.425,88,49,39,44.3
cassava,2022,continuous-run,1.0,0.85,88,38,50,56.8
cassava,2022,continuous-run,1.5,1.275,88,31,57,64.8
cassava,2022,continuous-run,2.0,1.7,88,23,65,73.9
cassava,2022,continuous-run,3.0,2.55,88,1,87,98.9
cassava,2022,continuous-run,4.0,3.4,88,0,88,100.0
cassava,2022,continuous-run,5.0,4.25,88,0,88,100.0
cassava,2022,continuous-run,7.0,5.95,88,0,88,100.0
cassava,2022,continuous-run,10.0,8.5,88,0,88,100.0
cassava,2023,continuous-run,0.0,0.0,75,41,34,45.3
cassava,2023,continuous-run,0.5,0.425,75,30,45,60.0
cassava,2023,continuous-run,1.0,0.85,75,25,50,66.7
cassava,2023,continuous-run,1.5,1.275,75,20,55,73.3
cassava,2023,continuous-run,2.0,1.7,75,15,60,80.0
cassava,2023,continuous-run,3.0,2.55,75,3,72,96.0
cassava,2023,continuous-run,4.0,3.4,75,2,73,97.3
cassava,2023,continuous-run,5.0,4.25,75,1,74,98.7
cassava,2023,continuous-run,7.0,5.95,75,1,74,98.7
cassava,2023,continuous-run,10.0,8.5,75,1,74,98.7
cassava,2024,continuous-run,0.0,0.0,23,16,7,30.4
cassava,2024,continuous-run,0.5,0.425,23,14,9,39.1
cassava,2024,continuous-run,1.0,0.85,23,10,13,56.5
cassava,2024,continuous-run,1.5,1.275,23,9,14,60.9
cassava,2024,continuous-run,2.0,1.7,23,8,15,65.2
cassava,2024,continuous-run,3.0,2.55,23,1,22,95.7
cassava,2024,continuous-run,4.0,3.4,23,1,22,95.7
cassava,2024,continuous-run,5.0,4.25,23,1,22,95.7
cassava,2024,continuous-run,7.0,5.95,23,1,22,95.7
cassava,2024,continuous-run,10.0,8.5,23,1,22,95.7
tomato,2018,continuous-run,0.0,0.0,57,50,7,12.3
tomato,2018,continuous-run,0.5,0.425,57,44,13,22.8
tomato,2018,continuous-run,1.0,0.85,57,36,21,36.8
tomato,2018,continuous-run,1.5,1.275,57,29,28,49.1
tomato,2018,continuous-run,2.0,1.7,57,19,38,66.7
tomato,2018,continuous-run,3.0,2.55,57,4,53,93.0
tomato,2018,continuous-run,4.0,3.4,57,2,55,96.5
tomato,2018,continuous-run,5.0,4.25,57,0,57,100.0
tomato,2018,continuous-run,7.0,5.95,57,0,57,100.0
tomato,2018,continuous-run,10.0,8.5,57,0,57,100.0
tomato,2019,continuous-run,0.0,0.0,50,46,4,8.0
tomato,2019,continuous-run,0.5,0.425,50,40,10,20.0
tomato,2019,continuous-run,1.0,0.85,50,31,19,38.0
tomato,2019,continuous-run,1.5,1.275,50,25,25,50.0
tomato,2019,continuous-run,2.0,1.7,50,19,31,62.0
tomato,2019,continuous-run,3.0,2.55,50,5,45,90.0
tomato,2019,continuous-run,4.0,3.4,50,3,47,94.0
tomato,2019,continuous-run,5.0,4.25,50,3,47,94.0
tomato,2019,continuous-run,7.0,5.95,50,3,47,94.0
tomato,2019,continuous-run,10.0,8.5,50,2,48,96.0
tomato,2020,continuous-run,0.0,0.0,46,41,5,10.9
tomato,2020,continuous-run,0.5,0.425,46,38,8,17.4
tomato,2020,continuous-run,1.0,0.85,46,34,12,26.1
tomato,2020,continuous-run,1.5,1.275,46,29,17,37.0
tomato,2020,continuous-run,2.0,1.7,46,23,23,50.0
tomato,2020,continuous-run,3.0,2.55,46,5,41,89.1
tomato,2020,continuous-run,4.0,3.4,46,3,43,93.5
tomato,2020,continuous-run,5.0,4.25,46,2,44,95.7
tomato,2020,continuous-run,7.0,5.95,46,2,44,95.7
tomato,2020,continuous-run,10.0,8.5,46,2,44,95.7
tomato,2021,continuous-run,0.0,0.0,47,41,6,12.8
tomato,2021,continuous-run,0.5,0.425,47,35,12,25.5
tomato,2021,continuous-run,1.0,0.85,47,31,16,34.0
tomato,2021,continuous-run,1.5,1.275,47,25,22,46.8
