crop,year,control_mode,start_hour,battery_nameplate,battery_eff_kwh,irrigation_days,met_days,unfulfilled_days,fulfillment_pct
cassava,2018,continuous-run,6,2.0,1.7,94,19,75,20.2
cassava,2018,continuous-run,7,2.0,1.7,94,47,47,50.0
cassava,2018,continuous-run,8,2.0,1.7,94,73,21,77.7
cassava,2018,continuous-run,9,2.0,1.7,94,94,0,100.0
cassava,2018,continuous-run,10,2.0,1.7,94,88,6,93.6
cassava,2018,continuous-run,11,2.0,1.7,94,75,19,79.8
cassava,2018,continuous-run,12,2.0,1.7,94,55,39,58.5
cassava,2018,continuous-run,13,2.0,1.7,94,42,52,44.7
cassava,2018,continuous-run,14,2.0,1.7,94,33,61,35.1
cassava,2019,continuous-run,6,2.0,1.7,89,9,80,10.1
cassava,2019,continuous-run,7,2.0,1.7,89,40,49,44.9
cassava,2019,continuous-run,8,2.0,1.7,89,68,21,76.4
cassava,2019,continuous-run,9,2.0,1.7,89,87,2,97.8
cassava,2019,continuous-run,10,2.0,1.7,89,84,5,94.4
cassava,2019,continuous-run,11,2.0,1.7,89,72,17,80.9
cassava,2019,continuous-run,12,2.0,1.7,89,60,29,67.4
cassava,2019,continuous-run,13,2.0,1.7,89,46,43,51.7
cassava,2019,continuous-run,14,2.0,1.7,89,30,59,33.7
cassava,2020,continuous-run,6,2.0,1.7,101,18,83,17.8
cassava,2020,continuous-run,7,2.0,1.7,101,55,46,54.5
cassava,2020,continuous-run,8,2.0,1.7,101,79,22,78.2
cassava,2020,continuous-run,9,2.0,1.7,101,97,4,96.0
cassava,2020,continuous-run,10,2.0,1.7,101,94,7,93.1
cassava,2020,continuous-run,11,2.0,1.7,101,79,22,78.2
cassava,2020,continuous-run,12,2.0,1.7,101,59,42,58.4
cassava,2020,continuous-run,13,2.0,1.7,101,52,49,51.5
cassava,2020,continuous-run,14,2.0,1.7,101,34,67,33.7
cassava,2021,continuous-run,6,2.0,1.7,81,10,71,12.3
cassava,2021,continuous-run,7,2.0,1.7,81,39,42,48.1
cassava,2021,continuous-run,8,2.0,1.7,81,66,15,81.5
cassava,2021,continuous-run,9,2.0,1.7,81,79,2,97.5
cassava,2021,continuous-run,10,2.0,1.7,81,70,11,86.4
cassava,2021,continuous-run,11,2.0,1.7,81,63,18,77.8
cassava,2021,continuous-run,12,2.0,1.7,81,50,31,61.7
cassava,2021,continuous-run,13,2.0,1.7,81,41,40,50.6
cassava,2021,continuous-run,14,2.0,1.7,81,33,48,40.7
cassava,2022,continuous-run,6,2.0,1.7,88,18,70,20.5
cassava,2022,continuous-run,7,2.0,1.7,88,45,43,51.1
cassava,2022,continuous-run,8,2.0,1.7,88,65,23,73.9
cassava,2022,continuous-run,9,2.0,1.7,88,84,4,95.5
cassava,2022,continuous-run,10,2.0,1.7,88,78,10,88.6
cassava,2022,continuous-run,11,2.0,1.7,88,63,25,71.6
cassava,2022,continuous-run,12,2.0,1.7,88,52,36,59.1
