time_local,sun_elev_deg,sun_az_deg,ghi_Wm2,dni_Wm2,dhi_Wm2,poa_global_Wm2,T_amb_C,T_cell_C,P_nameplate_W,P_temp_corr_W
16:26,38.19,251.79,586.4,787.3,99.7,531.0,15.0,31.6,215.1,210.1
16:27,38.0,251.99,583.4,786.2,99.5,527.6,15.0,31.5,213.7,208.8
16:28,37.81,252.19,580.4,785.0,99.2,524.3,15.0,31.4,212.3,207.6
16:29,37.62,252.39,577.4,783.8,99.0,520.9,15.0,31.3,211.0,206.3
16:30,37.43,252.59,574.4,782.6,98.7,517.5,15.0,31.2,209.6,205.0
16:31,37.24,252.78,571.4,781.4,98.5,514.1,15.0,31.1,208.2,203.8
16:32,37.05,252.98,568.3,780.1,98.3,510.6,15.0,31.0,206.8,202.5
16:33,36.86,253.17,565.3,778.9,98.0,507.2,15.0,30.9,205.4,201.2
16:34,36.67,253.37,562.2,777.6,97.8,503.8,15.0,30.7,204.0,199.9
16:35,36.48,253.56,559.2,776.4,97.5,500.3,15.0,30.6,202.6,198.6
16:36,36.29,253.76,556.1,775.1,97.3,496.9,15.0,30.5,201.2,197.3
16:37,36.1,253.95,553.0,773.8,97.1,493.4,15.0,30.4,199.8,196.0
16:38,35.91,254.14,549.9,772.5,96.8,490.0,15.0,30.3,198.4,194.7
16:39,35.72,254.33,546.8,771.1,96.6,486.5,15.0,30.2,197.0,193.4
16:40,35.53,254.52,543.7,769.8,96.3,483.0,15.0,30.1,195.6,192.1
16:41,35.34,254.71,540.5,768.4,96.1,479.5,15.0,30.0,194.2,190.8
16:42,35.15,254.9,537.4,767.1,95.8,476.0,15.0,29.9,192.8,189.5
16:43,34.96,255.09,534.2,765.7,95.5,472.5,15.0,29.8,191.4,188.2
16:44,34.76,255.28,531.1,764.3,95.3,468.9,15.0,29.7,189.9,186.8
16:45,34.57,255.46,527.9,762.9,95.0,465.4,15.0,29.5,188.5,185.5
